#tail	head
NKIRAS2	CBLN4
TLL2	ACVR1B
TLL2	NOG
MTNR1B	ESR2
CGA	PPARA
CGA	ZNHIT3
CGA	VDR
IGSF8	PPARA
IGSF8	TCF3
SETD1A	APOE
SETD1A	MAPK1
SETD1A	CFL1
SETD1A	MED4
SETD1A	GNAQ
SETD1A	HIST1H3G
BUB1B	RPS27A
BUB1B	KIF2C
BUB1B	CDC5L
BUB1B	PPP2R5D
BUB1B	ANAPC2
BUB1B	ABCB1
BUB1B	PPARA
HMGN2	RPS6KA3
HMGN2	PPARA
HMGN2	TCF3
MED4	CNOT1
MED4	RPSA
MED4	VDR
MED4	ALMS1
MED4	TRIM25
UBE2D4	TRAF6
NFKBIZ	EGF
NFKBIZ	NOG
CEBPB	CNOT1
CEBPB	IRF9
CEBPB	MEF2A
CEBPB	NOG
CEBPB	ALDH1A3
CEBPB	VDR
TUBA3D	DCTN1
TUBA3D	ESR2
TUBA3D	HIST1H4J
TUBA3D	TXNDC9
TLL1	AMHR2
MAPK1	FOXO3
MAPK1	SEH1L
MAPK1	MKNK2
MAPK1	VDR
MAPK1	HIST1H4C
MAPK1	HNRNPR
MAPK1	TP53
MAPK1	TCF3
MAPK1	PTPRR
KRT81	LEF1
KRT81	KRT36
SOX10	VDR
SOX10	PAX4
SOX10	TCF3
DNAJC8	CDC5L
MRPS27	MRPL11
MRPS27	PTCD3
MRPS27	CEP76
MRPS27	GFM2
PAX4	FGF14
PAX4	DCTN1
PAX4	HNRNPR
PAX4	IRF9
PAX4	MEIS1
PAX4	CAMK2G
PAX4	CFL1
HIST1H4J	TRIM25
HIST1H4J	HIST1H2BF
HIST1H4J	HIST1H3G
HIST1H4J	SELENBP1
HIST1H4J	PRPF8
HIST1H4J	GABARAPL1
DUS3L	BCAT1
HSD17B12	CFTR
HSD17B12	GNAQ
EIF2A	DCTN1
EIF2A	ESR2
LEF1	TCF3
LEF1	SKP1
LEF1	MAPT
LEF1	ZFAND5
LEF1	LOXL3
LEF1	MSTN
LEF1	FOXO3
RPS6KA3	GTF3A
RPS6KA3	MISP
RPS6KA3	TCF3
RPS6KA3	MAPT
NOG	ALDH1A3
NOG	CFTR
NOG	KISS1R
NOG	VDR
NOG	CDC5L
NOG	UBE2D3
NOG	TRIM38
NOG	EGF
NOG	SOX5
NOG	CIRBP
NOG	OTX1
NOG	ENO1
NOG	FH
NOG	IRF9
SMARCC2	CFTR
SMARCC2	CCT4
SMARCC2	RNF2
SEH1L	SMC1A
SEH1L	ADA
SEH1L	CLASP2
SEH1L	KIF2C
MYF5	TCF3
ABCB1	RNF2
ABCB1	ESR2
ABCB1	CFTR
ATF3	TP53
ATF3	FFAR3
ATF3	MKNK2
MEF2A	BAMBI
MEF2A	ZFAND5
YIPF5	ESR2
CEP76	CDK5RAP2
CEP76	TRMT10C
ENO1	SH3KBP1
ENO1	ESR2
ENO1	SGCG
ENO1	GABARAP
ENO1	SELENBP1
ENO1	CFTR
ENO1	VDAC1
C1QL1	MEIS1
FOXB1	MEIS1
FOXB1	TCF3
RPSA	MYH9
RPSA	EIF4A3
RPSA	MISP
RPSA	SELENBP1
RPSA	SEC23B
RPSA	ADA
HIST1H2AH	HIST1H2BF
HIST1H2AH	HIST1H3G
RPS27A	MAPT
RPS27A	UBE2M
RPS27A	TCF3
ALDH1A3	TGFB2
ALDH1A3	AKR1A1
TBC1D17	SLC1A5
TBC1D17	TP53
HIST1H3G	KIF2C
CNOT1	TRIM25
SYCE3	SMC1A
TTBK2	PRKACA
TTBK2	VDR
FGF8	GTF3A
FGF8	RAC2
FGF8	TRAF6
FGF8	FGF14
FGF8	SH3KBP1
FGF8	EGF
FGF8	PTCD3
RBM3	TP53
VDR	FOXO3
VDR	CASP3
VDR	HRG
VDR	ZFAND5
VDR	TCF3
GABARAP	GABARAPL1
GABARAP	CALR
GABARAP	HIST1H4C
CALR	RNF2
CALR	SELENBP1
CALR	TRAF6
CALR	CFTR
EIF4A3	HIST1H4C
EIF4A3	PAIP1
ACVR1B	TGFB2
ACVR1B	TCF3
ACVR1B	MSTN
FOXO3	MEIS1
FOXO3	MSTN
CSE1L	RNF2
CSE1L	TP53
CFTR	PRKACA
CFTR	SEC23B
SOX5	MSX2
BMP8A	BAMBI
MYH9	ATP13A2
MYH9	CFL1
TRAF6	MAPT
TRAF6	EIF3E
TRAF6	UBE2D3
UBE2D3	TCF3
UBE2D3	SKI
UBE2D3	PCGF1
KIF2C	KRT79
KIF2C	CDC5L
KIF2C	PPP2R5D
PRPF8	CFL1
PRPF8	SKP1
PRPF8	TRIM25
PRPF8	RNF2
PRPF8	TCF3
ADA	SGCD
ADA	ATP13A2
CDC5L	CCT4
CDC5L	HNRNPR
CDC5L	GABARAPL1
CDC5L	SMC1A
CELF5	SMAP2
GNAQ	CASP3
GNAQ	SH3KBP1
UBE2M	EIF3E
GPBP1	GTF3A
SELENBP1	APOE
SELENBP1	HRG
SELENBP1	HIST1H4C
SELENBP1	CFL1
CLASP2	DCTN1
CLASP2	PPP2R5D
SKI	TP53
LRRCC1	TRIM25
TRIM25	HIST1H2AG
TRIM25	CFL1
TRIM25	RNF2
ESR2	MRPL11
ESR2	C3orf70
ESR2	PRKACA
ESR2	PXMP4
ESR2	TGFB2
ESR2	FAM131B
ESR2	PKNOX1
FH	SH3KBP1
CCT4	TP53
CCT4	CD81
MSTN	TGFB2
AMHR2	TGFB2
DCTN1	MZT2A
MRPL11	GFM2
MRPL11	RNF2
MRPL11	CAMK2G
PPARA	TCF3
PPARA	CASP3
CD81	EIF3E
CD81	HIST1H2BF
PCGF1	HRG
PCGF1	SKP1
SMAP2	MSX2
HNRNPR	TCF3
SKP1	RNF2
SEC23B	CFL1
TNRC6A	SH3KBP1
HIST1H2AG	RNF2
SH3KBP1	RAC2
SH3KBP1	EGF
WIPI1	PRKACA
TCF3	PRKACA
TCF3	ATP13A2
HRG	EGF
ATP13A2	CASP3
HIST1H4C	MEIS1
EGF	TP53
EGF	PPP2R5D
TP53	RCOR1
MEIS1	RAC2
MEIS1	PXMP4
RCOR1	HIST1H2BF
SMC1A	RNF2
RNF2	CASP3
VWA5A	PKNOX1
