#tail	head
ACTBL2	CCT8
PAXBP1	ALYREF
PAXBP1	RBM8A
PAXBP1	SF3B3
MEX3C	ALYREF
IL18R1	EPOR
DLGAP4	SREBF1
ALYREF	IGSF8
ALYREF	SF3B3
ALYREF	EIF4A3
ALYREF	PRCC
ALYREF	SNRPC
BTBD9	LEF1
CCT8	NAPA
CCT8	FLCN
TUBE1	ICAM1
PTPN2	MST1R
PTPN2	ERBB4
PTPN2	PTPN6
KLF12	SREBF1
SSH2	LEF1
JAK2	CCND2
JAK2	STAT1
JAK2	IGKV1D-12
JAK2	ERBB4
JAK2	IGHV4-34
JAK2	YES1
JAK2	STAT5A
JAK2	EPOR
PHGDH	YES1
PHGDH	DLG1
PHGDH	HADHA
PHGDH	EIF4A3
PHGDH	LRPAP1
PHGDH	STAT1
PHGDH	NAPA
LIN7C	ABLIM2
LIN7C	XPO1
NTN1	FOXO4
NTN1	LEF1
NTN1	YES1
ETV5	STAT5A
KDR	PTPN6
KDR	IGKV1D-12
KDR	YES1
KDR	IGHV4-34
RASGRF1	DLG1
SREBF1	PAX2
SREBF1	NAPA
SREBF1	NR1H4
SREBF1	PTPRF
SREBF1	PTK2B
SNRPC	HNRNPUL1
FOXO4	IKZF3
FOXO4	EBF2
FOXO4	XPO1
NAPA	EIF4A3
NAPA	SPINT1
NAPA	YES1
NAPA	EEF1D
NAPA	DLG1
DLG1	MARCH3
PRCC	SF3B3
PRCC	XPO1
IRS2	IGKV1D-12
IRS2	EPOR
IRS2	STAT5A
SPINT1	HADHA
SPINT1	EIF4A3
RELA	ICAM1
RELA	TSLP
EIF4A3	RSPRY1
EIF4A3	SRSF11
EIF4A3	CIRBP
EIF4A3	PRMT1
EIF4A3	HNRNPUL1
HNRNPUL1	SRPK1
HNRNPUL1	PRMT1
LEF1	PAX2
LEF1	IKZF3
LEF1	AMMECR1L
IKZF3	YES1
TSLP	STAT5A
ERBB4	IGHV4-34
IGHV4-34	PTPN6
IGHV4-34	IGKV1D-12
IGHV4-34	EPOR
IGHV4-34	YES1
UNC5A	FANCC
YES1	PTPN6
PTK2B	STAT1
PTK2B	PTPRF
EPOR	STAT1
COPS5	FNIP1
COPS5	PRKD1
ICAM1	EBF2
NR1H4	PRMT1
