#tail	head
BRINP3	CUX1
ACADM	UQCRC2
ACADM	NTRK1
COL4A1	OSM
COL4A1	SRC
MAPK3	MYC
MAPK3	OSM
MAPK3	ATF2
MAPK3	TGFA
MAPK3	DCUN1D1
MAPK3	CDH1
MAPK3	KDM3A
MAPK3	JUND
MAPK3	SRC
MAPK3	BDNF
SHMT2	STAT3
SHMT2	NTRK1
SHMT2	TYK2
SHMT2	ILK
SHMT2	MYC
SHMT2	APP
SHMT2	FAM13A
SHMT2	NOG
POLR2F	RBM5
POLR2F	SNRPE
POLR2F	MAGOHB
POLR2F	LSM3
POLR2F	WBP4
POLR2F	FUS
POLR2F	CPSF4
RPL18	UBA52
RPL18	RPL23
RPL18	DCUN1D1
RPL18	RPS27L
CEBPB	IDH1
CEBPB	TRIM28
CEBPB	ATF2
CEBPB	BDNF
CEBPB	STAT3
CEBPB	PIP5K1A
CEBPB	NOG
CEBPB	FOXO1
ARID5B	NOG
ARID5B	MYC
CITED2	NOG
CITED2	MYC
CITED2	FOXO1
CITED2	PPARG
ZKSCAN5	NOG
WBP4	CCT2
CUX1	BDNF
CUX1	PIK3CA
CUX1	DVL1
CUX1	BLNK
ATP12A	HNRNPA0
ATP12A	PLAG1
ATP12A	NTRK1
KDM3A	MYC
KDM3A	TNK2
KDM3A	GART
KDM3A	PIK3CA
ACLY	APP
ACLY	IDH1
ACLY	MYC
ACLY	ACSL3
NCAM1	STAT3
NCAM1	NOG
NCAM1	NTRK1
THOC5	FOXD3
THOC5	LSM3
THOC5	CPSF4
THOC5	SNRPC
NOG	TOM1L1
NOG	TMEM267
NOG	TMPRSS2
NOG	CAMK2D
NOG	RPS27L
NOG	MAPK10
NOG	MAPT
OR8D2	FN1
DCUN1D1	UBA52
DCUN1D1	FUS
DCUN1D1	CLTC
DCUN1D1	FAM168A
PIK3CA	BDNF
PIK3CA	PIP5K1A
PIK3CA	CLTC
PIK3CA	FOXO1
PIK3CA	IGLV3-19
PIK3CA	NTRK1
PIK3CA	TGFA
PIK3CA	PSEN2
PIK3CA	SMPD1
PIK3CA	BLNK
UBA52	DKK3
UBA52	YWHAZ
UBA52	MYC
UBA52	POLI
UBA52	FAM168A
DKK3	IDH1
DKK3	CDH1
CUL2	UBC
CUL2	RPL23
CUL2	NTRK1
CUL2	CLTC
CUL2	FUS
MAPK10	YWHAZ
MAPK10	ATF2
MAPK10	STAT3
MAPK10	NFE2L1
ZNF148	UBC
PICK1	SPEG
PICK1	SCNM1
RBFOX1	FAM168A
AMT	SHMT1
TMEM216	PLK4
YWHAZ	FN1
YWHAZ	RPL23
YWHAZ	CCT2
YWHAZ	FUS
YWHAZ	MAPT
YWHAZ	BRD4
YWHAZ	NTRK1
YWHAZ	ATF2
STAT3	MYC
STAT3	NFE2L1
STAT3	TRIM28
STAT3	BDNF
STAT3	CBFA2T3
SNRPC	FAM168A
SNRPC	RBM5
SNRPC	THOC3
SNRPC	MYC
SNRPC	SNRPE
CPSF4	RBM5
CPSF4	FUS
PPP1R16B	MCRIP1
HNRNPA0	UBC
HNRNPA0	MYC
HNRNPA0	FOXO1
HNRNPA0	NFE2L1
CAMK2D	ATF2
CAMK2D	APP
CAMK2D	MYC
ZNF385C	RBPMS
CNIH2	UBP1
MYC	PRKCG
MYC	SEC61B
MYC	SHMT1
MYC	RPL23
MYC	TYK2
MYC	BRD4
MYC	ILK
MYC	SYK
MYC	TRIM28
MYC	PLAG1
STK40	FOSL2
STK40	APP
CASP1	PPARG
CASP1	APP
CCT2	NTRK1
CCT2	ILK
CCT2	TYK2
CCT2	FUS
PRKCG	BLNK
PRKCG	SMPD1
PRKCG	MAPT
STXBP1	MAPT
STXBP1	CHRNA7
PIP5K1A	IGLV3-25
FUS	LSM3
FUS	RBM5
FUS	FN1
FUS	MAGOHB
FUS	PFN1
PLAG1	FOXD3
UBAP2	CDH1
IDH1	CPT1B
IDH1	SMN2
IDH1	ACSL3
DGKB	NCK1
BNIP3	UBP1
CHRNA7	SLC24A2
CHRNA7	APP
RBPMS	BOLL
UBP1	FOXD3
UBP1	TRIM28
FOSL2	BRD4
FOSL2	FOXO1
DOCK3	NCK1
UPF2	MAGOHB
RPS28	UTP3
RPS28	FN1
RPS28	MAGOHB
RPS28	EIF3M
IGLV3-19	BDNF
IGLV3-19	SYK
TYK2	OSM
MAGOHB	SNRPE
MAGOHB	RBM5
TGFA	DVL1
TGFA	SYK
TGFA	IGLV3-25
TGFA	PPARG
TGFA	UBC
ANKLE2	NTRK1
NTRK1	HDAC2
NTRK1	VPS26A
NTRK1	CLTC
NTRK1	SRC
NTRK1	RPAP1
NTRK1	ACSL3
TRIM28	SRC
RNLS	LPO
LSM3	SMN2
RPS27L	SEC61B
RPS27L	NOL11
MAPT	SYK
MAPT	UBC
NAT8	SAR1A
ZFR	RPAP1
FOXO1	BDNF
BRD4	APP
BRD4	SMN2
UTP3	NOL11
SRC	SMN2
SRC	GLRX3
SRC	APP
SRC	IGLV3-25
SRC	VPS26A
SRC	FN1
SRC	SYK
DDX3Y	RPAP1
DDX3Y	ATF2
UBC	TAB3
UBC	PPARG
UBC	CDH1
PYCARD	SYK
TNK2	CLTC
TNK2	NCK1
SHLD3	SNRPE
EBP	APP
VPS26A	SMN2
CLTC	PFN1
CLTC	NFE2L1
SAR1A	FN1
GART	FN1
CDH1	APP
SLC24A2	APP
SYK	BDNF
SYK	TICAM1
SYK	NCK1
APP	PPARG
APP	RPL23
SNRPE	THOC3
SPEG	NFE2L1
FN1	NFE2L1
FN1	PFN1
NCK1	BLNK
RPL23	ATF2
BLNK	IGLV3-25
