#tail	head
APOA2	SLC8A1
XPO7	SLC39A9
FRMD5	ROCK1
GSN	HRAS
ALYREF	TLE3
ITGB3	ILK
ITGB3	HTR7
ITGB3	ROCK1
ITGB3	CHRNA7
IGKV4-1	PIP4K2A
IGSF6	AP3S1
ANKS1B	GATA6
GATA6	CHRNA7
GATA6	EPB41L3
IGLV3-19	EGFR
DGKG	GNG12
DGKG	CD79A
FGFR3	NCKAP1
FGFR3	HRAS
FGFR3	GNG12
C4B	SLC39A9
SLC8A1	CPN1
SLC47A2	A2M
SMAD1	HGS
NCKAP1	EGFR
NCKAP1	GRB2
CLEC2D	XYLT2
MBP	ROCK1
HLA-C	TRAV19
HLA-C	ATP1B3
GNG12	P2RY4
GNG12	EGFR
ALAD	A2M
ATP1B3	ATP6V0E2
CD79A	EGFR
CD79A	GRB2
CD79A	SLC39A9
CPN1	SLC39A9
XYLT2	GPC2
A2M	GRB2
ILK	ILKAP
AP3S1	EGFR
HGS	PIP4K2A
HGS	OCLN
HGS	EGFR
HTR7	MYOD1
GRB2	PIP4K2A
