#tail	head
RLN1	EP300
TGFB1	RPL10
TGFB1	NOS3
CD5	HNRNPU
YTHDC1	SLC12A5
HIST1H2BC	HNF4A
HIST1H2BC	HIST1H3J
HIST1H2BC	KAT2B
HIST1H3J	LEF1
HIST1H3J	RPL10
HIST1H3J	MCM6
FANCB	RPA2
DLGAP4	SLC9A3R2
MAZ	PAX6
MAZ	GABARAP
FOXL1	CH25H
FOXL1	SIX5
DNAJC21	ZNF622
EP300	HNRNPU
EP300	RXRA
EP300	LPL
EP300	KAT2B
LPL	RXRA
LPL	MED30
HIST1H3B	RXRA
HIST1H3B	KAT2B
HIST1H3B	MCM6
HIST1H3B	CACTIN
HIST1H3B	PAX6
NUDT21	U2AF2
NUDT21	RPA2
NUDT21	WTAP
NUDT21	HNRNPU
NUDT21	TRIM23
SIX5	LEF1
ABCE1	RPL36
ABCE1	GNS
RPS6KA1	GNS
NAPA	HNF4A
NAPA	LRRC59
NAPA	SLC9A3R2
NAPA	RPA2
GABARAP	RFC5
GABARAP	CDC5L
TSEN54	REPIN1
HTN3	BRD4
ZNF622	HNRNPU
TRAM1	RPL36
TRAM1	REPIN1
LEF1	RPA2
RPL10	RPL36
RPL10	RFC5
BEST2	SLC12A5
BEST2	REPIN1
HNRNPLL	CDC5L
BRD4	CDC5L
BRD4	HNF4A
CH25H	CYP21A2
RPL36	U2AF2
RPL36	HNRNPU
MRPL58	ME2
HNRNPU	MCM6
HNRNPU	CDC5L
HNRNPU	CACTIN
HNRNPU	WTAP
HNRNPU	KAT2B
HNF4A	RPA2
HNF4A	CDC5L
HNF4A	TRIM23
HNF4A	GINS2
U2AF2	CDC5L
DNA2	TIPIN
GINS2	MCM6
RFC5	TIPIN
MCM6	RPA2
CDC5L	RPA2
