#tail	head
KRTAP17-1	ZNF101
SPTBN2	TRIM25
BRIX1	TRIM25
BRIX1	INS
KPNA2	TRIM25
KPNA2	NFKB1
KPNA2	CDK2
GNB2	ATP1A3
GNB2	ANGPTL7
GNB2	SEH1L
GNB2	TACR2
GNB2	AVP
GNB2	TRPC3
GNB2	BAIAP2
GNB2	SRRM2
GNB2	PTEN
GNB2	GNG4
CENPN	CENPI
CENPN	HIST1H2BI
CENPN	RCC2
CENPN	HIST1H2AA
PIH1D1	CSNK2A1
PIH1D1	TRIM28
PIH1D1	HCCS
PIH1D1	PTGES3
PIH1D1	RPL17
PIH1D1	ECD
PIH1D1	PYCR1
ETFDH	OTX1
ZBTB18	TRIM37
ZBTB18	FOXF2
TADA2B	HIST1H3G
GNG4	DGKQ
GNG4	GNA14
GNG4	TRIM24
GNG4	BAIAP2
RPL37A	ELK1
RPL37A	TRIM25
RPL37A	OGA
CENPQ	NUP160
CENPQ	CENPI
PTGES3	ARRB2
PTGES3	NR3C1
PTGES3	DLD
PTGES3	DCTN1
PTGES3	TRIM25
PTGES3	CSNK2A1
PTGES3	MCM2
PTGES3	ATF4
ATL2	COPG1
ATL2	MEF2A
ATL2	HCCS
SH3D19	INS
RPL17	INS
RPL17	RARA
RPL17	METTL14
NFKB1	MCCC1
NFKB1	SEM1
NFKB1	ERC1
NFKB1	PTEN
NFKB1	HIST1H4I
HNRNPL	SMN2
HNRNPL	MCM2
HNRNPL	HECTD1
HNRNPL	CSNK2A1
HNRNPL	CREB3L2
HNRNPL	GTF2H2C_2
HNRNPL	PTEN
HNRNPL	USP14
HNRNPL	PAN3
HNRNPL	MAD1L1
HNRNPL	PCDHB16
HNRNPL	PCM1
MRPS18B	NR3C1
MRPS18B	DLD
MRPS18B	CDK2
CDC25A	CDK2
CDC25A	IGF1R
CDC25A	CDK1
DNAJC8	SRRM2
CCDC28A	ELK1
CCDC28A	PIK3CA
GRN	TSPAN4
GRN	CDK2
CREB3L2	TRIM25
CREB3L2	GTF2H3
CREB3L2	GTF2H4
SIRT1	MTOR
SIRT1	SQSTM1
SIRT1	TGFB1
SIRT1	INS
SIRT1	RARA
CENPI	NUP160
CENPI	MAD1L1
CENPI	DYNC1I2
CENPI	HIST1H2BI
PTEN	SMTN
PTEN	GNA11
PTEN	PYGB
PTEN	CLEC1B
PTEN	CDK1
PTEN	TNK1
PTEN	IGHV3-23
PTEN	UHRF2
DYNC2LI1	HSPB11
ACLY	NUDCD1
ACLY	SQSTM1
ACLY	SEPHS1
ACLY	ACP6
ACLY	HMGCS2
HMGCS2	DLAT
HMGCS2	ACP6
HMGCS2	ACSM6
