#tail	head
HIBCH	SLC12A7
WRN	CCNH
WRN	POLR2K
WRN	GTF2H3
WRN	CEBPA
IDI1	NFYB
IDI1	NFYA
GPR55	GNGT1
ITIH4	VDR
ITIH4	IFNG
ITIH4	LEP
ITIH4	MTHFR
SEMA6C	CEP44
SEMA6C	PRSS3
SEMA6C	PDZRN4
PIH1D1	ETV7
PIH1D1	EEF1E1
PIH1D1	PSMA4
DMD	CEP44
DMD	CHRNB4
DMD	PDZRN4
DMD	PRSS3
FZD5	FGF23
FZD5	IFNG
FZD5	GNGT1
FZD5	LEP
LEP	GAPDH
LEP	CEBPA
LEP	FOS
LEP	IFNG
LEP	CYCS
LEP	HPR
LEP	MED30
LEP	GRM8
CEBPA	VDR
CEBPA	PTPRU
CEBPA	MED30
CEBPA	FOS
CEBPA	NFYA
CEBPA	HMOX1
CEBPA	HOXB3
RNF4	RRN3
RNF4	KRT18
RNF4	HIST1H4D
RNF4	GAPDH
RNF4	ZNF768
RNF4	ATP1B1
RNF4	HMOX1
CCNH	POLR2K
CCNH	HMOX1
CCNH	BLZF1
CCNH	RRN3
CCNH	MLLT1
CCNH	SMARCC2
PDLIM7	ETV7
GNGT1	ATP1B1
GNGT1	GRM8
GNGT1	PSAP
GNGT1	KCNJ3
HIST1H2AC	FOS
HIST1H2AC	HOXB3
HIST1H2AC	POLR2K
HIST1H2AC	HIST1H4D
ZNF768	VDR
ZNF768	ETV7
NMI	KDM1A
NMI	SMARCC2
NMI	FOS
NMI	DSTN
NMI	RRN3
EEF1E1	ASL
KRT18	IFNG
KRT18	CYP2A6
VDR	HMOX1
VDR	KDM1A
VDR	PTPMT1
VDR	FGFR2
VDR	GAPDH
VDR	FGF23
HOXB3	POLR2K
HOXB3	HIST1H4D
PTPMT1	CYCS
PTPMT1	TIMM50
PTPMT1	FGFR2
FOS	HIST1H4D
FOS	SMARCC2
FOS	FGFR2
MLLT1	HIST1H4D
MLLT1	SMARCC2
KCNJ3	GRM8
KCNJ3	GNAI1
KCNJ3	ATP1B1
PTPRU	FGFR2
PTPRU	GNAI1
PTPRU	GAPDH
APOC2	PDZRN4
APOC2	PRSS3
APOC2	MTHFR
HIST1H4D	MTHFR
HIST1H4D	SMARCC2
HIST1H4D	POLR2K
FGFR2	FGF23
CYP2A6	CHRNB4
CYP2A6	NFYB
CYP2A6	CYCS
CYP2A6	GAPDH
CYP2A6	NFYA
CYP2A6	CYP2A7
SMARCC2	KDM1A
SMARCC2	PSAP
SLC12A7	ATP1B1
PRSS3	CEP44
GTF2H3	RRN3
GTF2H3	POLR2K
HPR	MTHFR
GRK5	GRM8
GRK5	PPIG
MTHFR	CHRNB4
MTHFR	IFNG
MTHFR	GAPDH
GAPDH	HMOX1
BMP3	KDM1A
BMP3	GRM8
IFNG	NFYB
IFNG	GRM8
IFNG	CYCS
IFNG	NFYA
ASL	HMOX1
HMOX1	SLC25A19
HMOX1	CYCS
GNAI1	GRM8
GNAI1	RASGRP1
GRM8	FGF23
NFYA	NFYB
RASGRP1	CHRNB4
SLC25A19	TIMM50
KDM1A	TIMM50
KDM1A	BLZF1
CHRNB4	ATP1B1
