#tail	head
THOC1	CFAP20
IGHG3	PIK3CD
IGHG3	IGKV1D-39
ZBTB48	MRPS34
HIST1H2BC	PWWP2A
HIST1H2BC	POLR2E
TNF	SLC14A2
TNF	PDGFA
TNF	FUS
TNF	PSMA1
TNF	IL6
H1F0	GTF3A
LYPD3	NEMP1
LYPD3	BTAF1
PIGB	GGT7
SLC5A7	DLG1
SLC5A7	SLC17A1
SLC5A7	FXYD2
SLC5A7	FXYD6
KPNB1	SMAD4
PIK3CD	MAF
PIK3CD	TRADD
MANEA	GGT7
TRIM25	PPP2R1A
TRIM25	JDP2
PYHIN1	MRPS34
PYHIN1	STRBP
BCHE	CHRM4
ESD	GGT7
MAF	RAB33A
CACNA2D1	ATP2B2
FAM129A	SMAD4
SLC26A4	LPO
PSMA1	PSME3
IL6	PDIA3
IL6	CYBA
IL6	FZD7
IL6	LPO
IL6	STAT5A
IL6	PDGFA
CFAP20	GTF2H4
RAB33A	CHML
DLG1	FXYD6
DLG1	FZD7
DLG1	FXYD2
DLG1	MYL6B
SLC17A1	FXYD2
ALG12	GGT7
SLC28A3	FXYD2
FUS	POLR2E
NME3	ATP6V1C2
CDC14A	GTF2A1
KCNB1	FXYD6
GTF2A1	POLR2E
GTF2A1	PSME3
IGKV1D-39	PDGFA
CDC20	UBE2A
CDC20	PPP2R1A
SLC12A5	LPO
SLC12A5	SMAD4
PIGM	CHRM4
GTF2H4	POLR2E
GTF2H4	CDK9
SMAD4	BMP6
STAG1	PPP2R1A
DYNC1H1	PPP2R1A
ANK3	STAT5A
PPP2R1A	CDK9
UBE2A	CDK9
UBE2A	MYL6B
UBE2A	BTAF1
MYL6B	STAT5A
CDK9	STAT5A
PSME3	MRPS34
MRPS9	MRPS34
CYBA	PDGFA
