#tail	head
FAM208B	PIK3R3
GABRA3	SF1
GABRA3	GABRA4
GABRA3	GABRB2
GABRA3	GABRA6
GABRA3	HLA-C
GABRA3	CEBPD
G6PC	GFI1
G6PC	UPP1
G6PC	PHKB
GABRA6	GABRA4
MYH3	GRIK3
MYH3	TCF12
MYH3	CACNA1A
KIR2DS5	HLA-C
UBE3A	FAF2
UBE3A	RPS20
UBE3A	PHKB
UBE3A	UBE2B
SRXN1	UPP1
SRXN1	UBE2B
SRXN1	PHKB
CLIP1	DYNC1I2
CLIP1	TUBB
CLIP1	CEBPD
CLIP1	UBP1
TCF12	TRIM25
TCF12	GFI1
RPL37A	RPN2
RPL37A	RPS20
RPL37A	NCBP2
TRIM25	HNRNPL
TRIM25	AIFM1
TRIM25	FAF2
TRIM25	RPS20
TRIM25	PKP3
TRIM25	TUBB
FOXP2	FOXP3
FOXP2	PKP3
FOXP2	GFI1
PLBD1	ABCD1
PLBD1	SEH1L
NCBP2	RBM15
NCBP2	SF1
NCBP2	SEH1L
NCBP2	POLR2H
NCBP2	RPS20
NCBP2	CTDP1
NCBP2	HNRNPL
NCBP2	PRPF40A
GFI1	UBP1
GFI1	FLRT1
ELOA3D	POLR2H
HCCS	AIFM1
HCCS	PKP3
ATP2C1	UPP1
ATP2C1	PHKB
ATP2C1	CACNA1A
HNRNPL	DDX46
HNRNPL	SF1
HNRNPL	PKP3
HNRNPL	SEH1L
AIFM1	TUBB
HLA-C	FAF2
GABRB2	GABRA4
PIK3R3	PPARA
CTDP1	POLR2H
SEH1L	TMEM43
SEH1L	SF1
SEH1L	DYNC1I2
CACNA1A	MYL6B
EBF1	CEBPD
EBF1	PPARA
SF1	PRPF40A
SF1	DDX46
SF1	TMEM43
SF1	POLR2H
SF1	RBM15
FOXP3	UBP1
VCPIP1	EDEM3
CEBPD	PPARA
PRSS23	PPARA
BAG3	POLR2H
BAG3	MED1
GRIK3	MYL6B
GRIK3	UBP1
POLR2H	DDX46
PKP3	PPARA
PRPF40A	DDX46
TMEM43	PPARA
PPARA	MED1
