#tail	head
PPT1	ATP1A1
MTNR1B	IGFBP3
MTNR1B	UBR4
MTNR1B	SLC4A7
MTNR1B	SMARCD1
ATP1A1	GAPDH
ATP1A1	ZNF598
ATP1A1	SLC4A7
ATP1A1	ESR2
IL1RL2	IL36RN
IL1RL2	IL36B
ANXA6	GAPDH
ANXA6	SPTAN1
ANXA6	GNAI2
ANXA6	HSPA8
PLD2	EGFR
PLD2	CASP9
SIPA1L2	SSX2IP
MYL9	CATSPER3
MYL9	TRPV3
MYL9	CACNA1S
RBP2	LRAT
RBP2	AQP9
RBP2	HNF4A
SETD1A	HSPA8
SETD1A	ESR2
SETD1A	SPTAN1
SETD1A	GNAS
SETD1A	GAPDH
SETD1A	AP2B1
SETD1A	TMOD3
ABI1	HSPA8
MGST3	ELAVL1
MGST3	NUP107
MGST3	MCM2
TMOD3	ESR2
TMOD3	FOXO4
TMOD3	SPTAN1
TRPC1	GNAS
TRPC1	CLCA1
TRPC1	GNAI2
FOXO4	EXOC5
FOXO4	CD96
FOXO4	AQP9
FOXO4	GNAS
FOXO4	NF1
FOXO4	YBX1
FOXO4	GATA1
FOXO4	NOP10
FOXO4	FAM72A
FOXO4	SLC4A7
CHEK1	YBX1
SLN	HNF4A
SLN	CACNB2
AQP9	CASP9
AQP9	EXOC5
AQP9	AP2B1
MAFG	PRG4
MAFG	C9orf16
MAFG	GAPDH
IL1B	MYC
IL1B	SHBG
IL1B	CYP11A1
IL1B	EGFR
IL1B	ESR2
FXYD1	HNF4A
FXYD1	HCN2
ARPC1A	SPTAN1
ARPC1A	ELAVL1
ARPC1A	HSPA8
PRG4	EXOC5
CACNG4	CLCA4
CACNG4	CACNA1S
C12orf4	TCP10L
UBR4	ESR2
UBR4	CD96
UBR4	UBE2K
UBR4	HSPA8
GAPDH	MTMR3
GAPDH	CYP11A1
GAPDH	CASP9
GAPDH	NUMA1
GAPDH	MCM2
GAPDH	CASP3
INCA1	KCTD7
INCA1	HNF4A
G3BP1	ELAVL1
G3BP1	G3BP2
G3BP1	ATP5F1A
PLA2G5	AWAT2
LRAT	AWAT2
SSX2IP	NUMA1
GATA1	HIST2H4B
GATA1	CYP11A1
GATA1	FAM72A
GATA1	DHX36
GATA1	AMOT
GATA1	YBX1
CYP11A1	NF1
CYP11A1	ESR2
IL1F10	IL36B
NOP10	ESR2
SMARCA1	NF1
GYS2	HNF4A
CLCA4	CACNA1B
C9orf16	IKBIP
PATJ	AMOT
PATJ	NF2
LGR4	PXN
FGF8	NOL8
FGF8	HDAC1
FGF8	DHX36
MYC	MAGI1
MYC	NPM1
MYC	ABCC1
MYC	HSD17B2
MYC	SSBP1
MYC	RPL10
MYC	ILK
MYC	U2AF2
MYC	GNAS
MYC	HSPA8
MYC	RPL6
MYC	HNF4A
CPSF3	ESR2
CPSF3	SPTAN1
CPSF3	ELAVL1
KRT18	LCP1
KRT18	DEDD
KRT18	AP2B1
KRT18	CASP3
KRT18	ESR2
DNAJA3	HSPA7
DNAJA3	HSPA8
DNAJA3	HSD17B2
DNAJA3	EGFR
SOBP	HNF4A
SOBP	NF1
UGP2	ILK
HSD17B2	RBBP7
HSD17B2	COMT
NF2	EGFR
NF2	HSPA8
CD96	HSPA7
YBX1	RPL6
YBX1	HSPA7
YBX1	RPL10
YBX1	G3BP2
YBX1	COX5A
HIST1H2BB	NPM1
HIST1H2BB	RBBP7
IGFBP3	COMT
GNAI2	NPM1
NF1	DYNC1H1
NF1	CACNB2
NF1	STAG1
NF1	ARMC8
ALDH3A2	COX5A
PSMB4	SPG21
HNF4A	PRRX2
HNF4A	NUP98
HNF4A	COMT
HNF4A	CEP290
HNF4A	NUP107
HNF4A	LIN7C
SMARCD1	HIST2H4B
SLC4A7	ARMC8
IRF8	DAGLA
CES1	OC90
IKBIP	ELAVL1
CEP290	PCNT
SYN1	SPTAN1
HSPA14	NUP107
YTHDF2	RPL10
YTHDF2	RPA2
SPTAN1	AP2B1
SPTAN1	NUMA1
SPTAN1	ZNF598
ARL2BP	GNAS
PXN	CATSPER3
PXN	RPL10
PXN	EGFR
PXN	CACNA1S
ESR2	MAGT1
ESR2	GNAS
ESR2	DHX36
ESR2	ABCC1
HIST1H4L	ZNF598
HIST1H4L	CDK1
HIST1H4L	NPM1
HIST1H4L	MCM2
HIST1H4L	TRRAP
HIST1H4L	HIST1H2BJ
CASP9	CASP3
TRPV3	SLC17A7
TRPV3	TCAP
DEFB4B	TLR4
CACNA1S	SLC17A7
CACNA1S	CACNB2
GNAS	CASP3
GNAS	EGFR
GNAS	HSPA8
COMT	SHBG
SHBG	CASP3
TCP10L	CRYZL1
ZNF598	HIST2H4B
ZNF598	RBBP7
ZNF598	HSPA7
TRIM14	SPG21
TRIM14	RBBP7
TRIM14	G3BP2
RBBP7	NPM1
RBBP7	HIST1H2BJ
RBBP7	STAG1
RPL6	RPA2
RPL6	EGFR
DDX51	NOL8
DDX51	NPM1
U2AF2	CASP3
U2AF2	DDX46
U2AF2	NPM1
U2AF2	EGFR
U2AF2	LCP1
SSBP1	MTMR3
SSBP1	EGFR
SSBP1	ILK
HSPA8	ELAVL1
HSPA8	DYNC1H1
HSPA8	NUP107
HSPA8	MCM2
CDK1	ABCC1
CDK1	HIST1H2BJ
CDK1	MZT2A
CDK1	NPM1
CDK1	DEDD
IGKV3-11	DAGLA
HIST2H4B	RPA2
HIST2H4B	NPM1
EGFR	MTMR3
EGFR	ARMC8
TIPIN	RPA2
NME6	ATP6V1H
NUP107	NUP98
RPA2	SNRNP40
RPA2	ELAVL1
RPA2	NPM1
RPA2	HIST1H2BJ
HSPA7	NUP98
HSPA7	MCM2
LCP1	PRRX2
TRRAP	NPM1
TCAP	CATSPER3
MZT2A	NUMA1
ATP5F1A	MCM2
CACNA1B	SLC17A7
DHX36	IRF7
G3BP2	RPL10
CLCA1	CACNB2
AP2B1	MCM2
AP2B1	ABCC1
HIST1H2BJ	STAG1
HIST1H2BJ	HDAC1
HDAC1	ABCC1
ACP6	PRRX2
SNRNP40	DDX46
MCM2	DYNC1H1
MCM2	NPM1
NUP98	NPM1
NPM1	ABCC1
NPM1	CASP3
ATP6V1H	ABCC1
