#tail	head
MOXD1	CHST8
SH3KBP1	VEGFA
SH3KBP1	FGF6
SH3KBP1	GNG11
SH3KBP1	PIK3CB
SH3KBP1	PPME1
SH3KBP1	ETS2
PFKP	A4GALT
PFKP	DMWD
UBE2B	RNF114
UBE2B	REPIN1
UBE2B	KCMF1
UBE2B	HERC1
TRAF4	HNF4A
TRAF4	HOXB6
TRAF4	REPIN1
TRAF4	RNF114
TRAF4	RFX1
HERC1	SRF
HERC1	KCMF1
HERC1	F2
A1BG	KCMF1
A1BG	PNKP
A1BG	HNF4A
IL11	F2
IL11	PIK3CB
UGT1A1	A4GALT
PNKP	SRF
PNKP	HNF4A
HOXB6	ETS2
HOXB6	RFX1
HOXB6	WDYHV1
F2	HNF4A
F2	AKR1C3
F2	GNG11
SRF	REPIN1
PIK3CB	VEGFA
PIK3CB	FGF6
PIK3CB	GNG11
FGF6	GNG11
FGF6	VEGFA
FGF6	FLRT1
DMWD	FERD3L
AKR1C3	HNF4A
AKR1C3	PSME3
ACAP1	ETS2
HNF4A	ZSWIM8
HNF4A	PPME1
HNF4A	VEGFA
HNF4A	REPIN1
HNF4A	PSME3
PSME3	WDYHV1
PSME3	ZSWIM8
SCUBE3	REPIN1
PPME1	RFX1
RFX1	VEGFA
RFX1	ETS2
RFX1	FERD3L
RFX1	FLRT1
DAPP1	VEGFA
DAPP1	GNG11
REPIN1	ZSWIM8
GNG11	VEGFA
GNG11	ETS2
