#tail	head
EFNB2	PICK1
MAMLD1	KAT2B
HS3ST2	SP1
HS3ST2	EBF2
KLC4	CDK9
KLC4	AZIN1
KLC4	MEF2A
KMT2A	PAX4
KMT2A	KAT2B
KMT2A	H3F3A
KMT2A	RBBP4
KMT2A	SLCO2A1
KMT2A	HIST1H4C
KMT2A	NHLH1
KMT2A	E2F6
KMT2A	ASXL1
KMT2A	GATA1
CAPZA1	SPTAN1
CAPZA1	HUWE1
CENPQ	HIST1H2BA
CENPQ	RBBP4
CENPQ	APP
CENPQ	SPDL1
CENPQ	MAD2L1
RPL26L1	CDX1
CCDC60	EGFR
TNFRSF10C	ARL13B
PPP2CB	CDC20
PPP2CB	PSMC2
PPP2CB	DYNLL1
PPP2CB	SQSTM1
PPP2CB	MAD2L1
PPP2CB	CENPP
CA1	VEGFA
CA1	ATP6V1E1
CA1	CASP3
CA1	APP
FOXO4	EPHB6
FOXO4	MYO18A
FOXO4	CDH6
FOXO4	CLTRN
FOXO4	ALB
FOXO4	MECOM
FOXO4	KCTD6
FOXO4	ZNF286A
GADD45G	GATA1
GADD45G	MAFG
GADD45G	STAT3
HOXA4	M6PR
HOXA4	PAK3
EPHB4	DNAJC6
PAX4	SLC38A1
PAX4	BMP7
PAX4	CFTR
PAX4	HBEGF
PAX4	AZIN1
PAX4	SQSTM1
PAX4	TLX2
PAX4	PDGFB
PAX4	EPHB6
SOS1	PIP4K2C
SOS1	NRG2
SOS1	FGF2
SOS1	WASF1
SOS1	IGKV3-11
SOS1	PIK3R2
SOS1	GNG2
SOS1	NTRK1
SLC5A10	SLC5A3
SLC5A10	SLC6A1
SLC5A10	SLC6A14
UBA1	CDK2
UBA1	ASCC2
UBA1	UBE2S
UBA1	NTRK1
WIPI2	EGFR
GMPR2	KMO
LCE1F	CYSRT1
LCE1F	TLX2
LCE1F	CHRD
MAFG	SQSTM1
MAFG	RAG1
SNAPC5	RNF4
SNAPC5	POLR2G
SNAPC5	CDK9
ERLIN2	EGFR
ERLIN2	PIP5K1B
ERLIN2	WASF1
ERLIN2	SQSTM1
ERLIN2	TCF3
ERLIN2	APH1A
DCAF13	RPS13
DCAF13	DCUN1D4
BASP1	STOML2
BASP1	SRRT
BASP1	LRCH3
FKBP8	PSMA5
NOG	KLF9
NOG	H3F3A
NOG	CSNK2A2
NOG	BMP7
NOG	ATF3
NOG	ASXL1
NOG	PPP4R2
NOG	HOXA1
NOG	CDK2
NOG	FGF2
NOG	FOXA2
NOG	CHRDL1
NOG	SQSTM1
NOG	LRAT
NOG	PIK3CA
NOG	DNAJC6
NOG	MAF
TMEM214	RNF4
UBE2N	ZNRF4
UBE2N	EBF2
UBE2N	HSPB1
UBE2N	HIST1H4C
UBE2N	SP1
UBE2N	KCTD6
UBE2N	SQSTM1
UBE2N	LRR1
UBE2N	MAP3K7
PIK3CA	IGKV3-11
PIK3CA	PIP4K2C
PIK3CA	SQSTM1
PIK3CA	GABRB1
PIK3CA	AP2B1
PIK3CA	MYO18A
PIK3CA	PIK3R2
PIK3CA	NTRK1
PIK3CA	NRG2
PIK3CA	PDGFB
PIK3CA	PIP5K1B
RASGRP3	GRB2
RASGRP3	IGKV3-11
ATF3	KLF9
ATF3	PAK3
ATF3	HS6ST2
MEF2A	ELMO2
MEF2A	C5orf64
MEF2A	MECOM
MEF2A	HSF2
PICK1	CSNK2A2
PICK1	ZNF286A
PICK1	SP1
PICK1	EIF4H
SLC6A14	DPEP1
SLC6A14	SLC6A1
SLC6A14	KRT15
SLC24A4	SLC38A1
LRAT	DBT
LRAT	ACSM2B
LRAT	TCF3
LRAT	ADH1B
KCTD6	UBE2C
KCTD6	DCUN1D4
CEP76	HNRNPH1
CEP76	MLH1
CEP76	DYNLL1
SP1	GATA1
SP1	SPTAN1
SP1	MAP3K7
SP1	BCL2L1
SP1	CDC20
SP1	STAT3
SP1	GLS2
SP1	POLR3G
SP1	RBBP4
SP1	SLC7A4
SP1	PAIP2
SP1	CDK2
SP1	INTS2
SP1	GABRB1
SP1	SOD2
SP1	GGNBP2
RFX1	VEGFA
RFX1	PLEC
PAK3	ACTC1
PAK3	TCF3
GATA1	SNTG1
GATA1	SPI1
GATA1	PIK3R3
GATA1	AZIN1
GATA1	SLC46A1
PIK3C3	PIK3CG
PIK3C3	SOD2
PIK3C3	CASP3
PIK3C3	FGFR1
PIK3C3	ALB
PIK3C3	EGFR
PIK3C3	NTRK1
PIK3C3	IGKV1-12
PIK3C3	GRB2
PIK3C3	CASP9
PIK3C3	APP
PIK3C3	VEGFA
PIK3C3	WASF1
PIK3C3	IGKV3-11
HBEGF	FGF2
HBEGF	WASF1
HBEGF	EGFR
HBEGF	GNG2
HBEGF	NR1I2
SLC9A6	EBF2
SLC9A6	CFTR
ACTC1	MECOM
ACTC1	CSNK2A2
USP34	UBE2D1
SLC26A9	SLCO2A1
CDK2	PLEC
CDK2	NTRK1
CDK2	RPL13
STAT3	BCL2L1
STAT3	ASXL1
STAT3	PIK3R3
STAT3	VEGFA
STAT3	SRRT
STAT3	PDGFB
SNAPIN	DNAJC6
MYL2	AP2B1
MYL2	YBX1
FBXL7	UBE2S
FBXL7	PSMA8
FBXL7	DCUN1D4
TSSC4	PPP4R2
TWF1	SQSTM1
VEGFA	GNG2
VEGFA	YBX1
VEGFA	APP
VEGFA	HIF1A
VEGFA	CASP3
VEGFA	WASF1
VEGFA	ITGB3
DHRS9	PSMA5
DHRS9	SULT1E1
