#tail	head
CDK13	ZNF2
CTNND1	ZYX
CTNND1	ABL1
CTNND1	GCLM
CTNND1	SLC11A2
CTNND1	EFTUD2
CTNND1	TRPC1
KIF1B	RUNX1
KIF1B	YWHAG
LCN2	PELI1
GAST	GNG13
GAST	SCT
GAST	FOXA1
GAST	P2RX3
GAST	CREB3L1
SFI1	SRSF2
SFI1	SNRPD1
SFI1	YWHAG
ZYX	FKBP15
ATP5F1A	FDX1
ATP5F1A	NTRK1
ATP5F1A	YWHAG
ATP5F1A	RPS8
ATP2A3	CACNG2
ATP2A3	TRPC1
ATP2A3	P2RX3
ATP2A3	DLG4
FDX1	HSCB
PCDHGC3	XAGE1C
PCDHGC3	NTRK1
GCLM	U2AF1
GCLM	HSF1
GCLM	SLC11A2
GCLM	HPRT1
GCLM	CHST11
GCLM	HSCB
ABCE1	HSCB
ABCE1	RPL4
ABCE1	NTRK1
CACNA2D1	CPNE1
CACNA2D1	CACNG2
CACNA2D1	CACNA1F
NR2C2	SOX5
NR2C2	POU2F1
NR2C2	HSF1
TRPC1	U2AF1
TRPC1	P2RX3
TRPC1	CREB1
TRPC1	SCT
ZNF2	CREB1
DLG4	CPNE1
DLG4	RUNX1
C7	SLC11A2
C7	NTRK1
NTRK1	RPL4
NTRK1	HUWE1
NTRK1	MFAP1
NTRK1	SRSF11
NTRK1	EFTUD2
NTRK1	ABL1
NTRK1	SRSF2
NTRK1	RPS8
NTRK1	YWHAG
NTRK1	CPNE1
SMG8	RPS8
SRSF2	SRSF11
SRSF2	POU2F1
SRSF2	ESS2
SRSF2	MFAP1
CPNE1	P2RX3
CPNE1	CACNG2
CPNE1	CREB1
PLXNA2	POU2F1
PLXNA2	FOXA1
PLXNA2	HSF1
WWOX	XRN2
WWOX	ESS2
HUWE1	ABL1
HUWE1	EFTUD2
CACNG2	FOXA1
XRN2	CREB1
XRN2	SEC23A
SLC11A2	HSF1
SRSF11	YWHAG
SRSF11	SNRPD1
SRSF11	EFTUD2
FOXF2	POU2F1
FOXF2	ZBTB2
FOXF2	RUNX1
FOXF2	ABL1
ESS2	SNRPD1
ESS2	U2AF1
ABL1	YWHAG
ABL1	FOXA1
ABL1	CREB1
HSF1	ZBTB2
POU2F1	SOX5
POU2F1	FOXA1
SOX5	RUNX1
SOX5	FOXA1
XAGE1C	FAT3
U2AF1	SNRPD1
U2AF1	RPS8
MFAP1	YWHAG
MFAP1	SNRPD1
RPL4	EFTUD2
RPL4	SEC23A
ATRN	BTNL8
FOXA1	YWHAG
FOXA1	CREB1
FOXA1	EPS8L2
TRMT1L	EFTUD2
NINJ1	CREB1
RHBDD1	BTNL8
GNG13	SCT
EFTUD2	YWHAG
