#tail	head
ATG10	ATG4B
ATP1A1	LIMK2
ATP1A1	SLC9C1
ATP1A1	ESR2
PSEN1	IGF1
PSEN1	ERBB4
MDM2	ERBB4
MDM2	ATP2A2
MDM2	ESR2
MDM2	UBE2V2
MDM2	SLC30A1
MDM2	CCNA1
MDM2	PDE4D
MDM2	FOXO4
MDM2	SLC30A5
MDM2	TFCP2
LARP1	PABPN1
LARP1	CDK2
EPS15	FLNA
EPS15	HIST1H4F
EPS15	SPRY1
HKDC1	ASNS
CMPK2	APP
JAK1	PTPRH
JAK1	DUSP5
JAK1	RAC1
JAK1	SOS1
PPP3CB	GABARAPL2
PPP3CB	APP
SLC26A4	SLC5A8
FOXO4	CDK2
FOXO4	GNE
FOXO4	IGF1
FOXO4	APC
FOXO4	VLDLR
RAC1	LYN
RAC1	APP
SOS1	APC
SOS1	SNRPD2
SOS1	PRKCG
PASK	RAB11FIP1
FEM1B	HNF4A
MICA	PGLYRP3
UBE2V2	ASB9
UBE2V2	CUL3
UBE2V2	UBE2L3
UBE2V2	HIST1H4F
ZFP36	SLC30A1
MAFG	WDR81
MAFG	APP
KIF9	ATP5IF1
PSMF1	PSMD12
PSMF1	PSMA8
PSMF1	UBE2E1
PSMF1	PSMD10
PSMF1	MAD2L1
SLC27A4	ESR2
RBBP8	ATF2
RBBP8	MNAT1
LYN	DNM2
LYN	PDGFB
LYN	LIMA1
LYN	PDE4D
ATP2A2	P2RX2
ATP2A2	SUCLA2
ATP2A2	SLC3A2
ATP2A2	BET1
GPR141	STX4
GPR141	STXBP3
KCNF1	ATF2
LRAT	ADH1B
ALDH3B1	PDE4D
ALDH3B1	LCLAT1
ALDH3B1	AGPAT1
AIFM3	NMT1
HMGCR	ACSS1
HMGCR	ADH1B
RPN2	ESR2
OTUB2	MID1
OTUB2	TP53
DENND2D	RNPS1
DENND2D	C1orf35
WDR81	PPARA
CDK2	UBE2C
CDK2	HNF4A
CDK2	TP53
CDK2	ABCC2
CDK2	IGF1
CDK2	TRIM21
CDK2	ATP5F1B
COPE	BET1
COPE	PSMD12
PSMD10	CUL3
PSMD10	CCNA1
PSMD10	UBE2C
PSMD10	TP53
LATS1	TEAD2
HIST1H4F	TAF1D
HIST1H4F	CUL3
HIST1H4F	APP
HIST1H4F	BMI1
HIST1H4F	PPARA
BET1	SLC3A2
CHERP	RNPS1
CHERP	DHX8
CHERP	HNRNPC
MNAT1	TP53
MNAT1	TRIM21
PRKAA1	ABCC2
PRKAA1	SOD3
PRKAA1	APP
PRKAA1	WBP2
PRKAA1	HNF4A
PRKAA1	PDGFB
PRKAA1	RBPMS
PRKAA1	PDE4D
SLC22A5	NEFL
SLC22A5	SLC5A9
SLC22A5	APP
MAP1B	GABARAPL2
SYT1	P2RX2
SYT1	SNX9
SYT1	ASNS
TRIM21	HIST1H3F
TRIM21	PFKFB2
PRDX4	BMI1
SLC2A1	IGF1
SLC2A1	MCM7
SLC2A1	SH3GL1
SLC2A1	BAK1
HIST1H3F	MAD2L1
HIST1H3F	FLNA
PINK1	APP
TOMM5	ATP5F1B
MAD2L1	MAD2L2
MAD2L1	ESR2
MAD2L1	CUL3
MCM7	TP53
MCM7	GABARAPL2
MCM7	CCNA1
HNF4A	DHX8
HNF4A	PDGFB
HNF4A	APC
HNF4A	ATF2
HNF4A	LIN7C
UBE2E1	PSMA8
UBE2E1	ANAPC1
PRR20C	ZNF593
DHX8	SUCLA2
DHX8	RNPS1
DHX8	ESR2
ATP5F1B	ATF2
ATP5F1B	BMI1
ATP5F1B	PRKAB2
SNX9	DNM2
SNX9	NPM1
SNX9	SLC3A2
SNX9	FLNA
SNX9	CUL3
SNX9	ACTL8
SNX9	IGF2BP2
SPRY2	ERBB4
CALM1	APP
CALM1	CUL3
CALM1	PPARA
CALM1	BMI1
CALM1	PSMD12
CALM1	P2RX2
CALM1	PYGB
CALM1	ATP1B1
PGRMC2	BAK1
LCLAT1	ACSS1
SNRPD2	GTF2F2
SNRPD2	GABARAPL2
SNRPD2	ESR2
SNRPD2	CUL3
COMMD8	ASB9
HECTD1	TFCP2
HECTD1	BMI1
HECTD1	APC
HECTD1	TP53
SUCLA2	ATP1B1
SUCLA2	ACSS1
USH1C	QKI
SH3GL1	MSI2
SH3GL1	SLC3A2
ABCE1	RPS25
ABCE1	FLNA
ESR2	HNRNPC
ASNS	PYGB
ASNS	PDE4D
ASNS	PRKAB2
QKI	APP
NMT1	TP53
GTF2F2	PABPN1
GTF2F2	ATF2
GTF2F2	HNRNPC
PEX5	DECR2
CUL3	COPS8
CUL3	FLNA
CUL3	PSMA8
CUL3	RPS25
CUL3	ARID1A
APC	FLNA
APC	NCKAP5
ERBB4	PCDHB12
PDE4D	PYGB
PGLYRP3	SLC30A1
GABARAPL2	PPARA
GABARAPL2	STIP1
RPL10L	RNPS1
BAK1	ABCC2
SLC3A2	SLC5A9
DUSP5	PPARA
DUSP5	TP53
HNRNPC	RNPS1
HNRNPC	ARID1A
TRIM69	APP
COPS8	FBXL13
COPS8	ASB9
PPARA	C6orf106
PPARA	IGF1
PPARA	FBXL13
PEX14	DECR2
PYGB	PRKAB2
PYGB	SLC5A9
FBXL13	UBE2C
FBXL13	HSPBP1
ABCC2	IGF1
ATP1B1	SLC28A2
ATP1B1	SLC5A9
PSMD12	NPM1
DNM2	PDGFB
SLC9C1	ATP1A3
UBE2C	TP53
UBE2C	CCNA1
SLC28A2	NEFL
PABPN1	IGF1
PABPN1	NPM1
SLC5A9	NEFL
PDGFB	IGF1
PDGFB	TP53
HSPBP1	STIP1
TP53	UBE2L3
PRKAB2	RPS25
