#tail	head
CDYL	VSX1
ZBTB48	FBXO11
ZBTB48	MAX
SYNJ1	IGHV1-69
BBS7	KANK2
RNPS1	SRRM1
TNFRSF10B	TMEM231
TNFRSF10B	MAPK3
MAPK3	ERG
MAPK3	TYMP
MAPK3	YWHAZ
MAPK3	AP3B1
NFATC1	HMGA1
NFATC1	SPI1
NFATC1	SEMA7A
CNN3	SEMA7A
ERG	ZHX2
PARP1	POLD1
PARP1	SPI1
PARP1	IFNA1
SERTAD4	ZHX2
SERTAD4	GFI1
SERTAD4	POTEF
GFI1	ZHX2
GFI1	UPK1A
GTF2B	BACH1
LEPR	IFNA1
FGF8	IGHV1-69
TTLL10	PAX2
TTLL10	KRT36
PDGFB	FOS
PDGFB	MAX
PDGFB	PAX4
PDGFB	IGKC
VSX1	SEMA7A
AP3B1	ATM
TOM1	MAP3K1
TOM1	HIST1H1E
TOM1	SEMA7A
HIST1H2BD	FOS
HIST1H2BD	TAF1C
PAX4	PAX2
PAX4	LMX1B
PAX4	ATM
PAX4	HOXB8
PAX4	HNRNPR
GBP4	CXCL8
IGHV1-69	ELMO1
CNNM3	PNMA2
CNNM3	VWC2
CNNM3	HNRNPR
SPI1	ELMO1
SPI1	SRRM1
SPI1	MAX
SPI1	EFNB3
SEMA7A	ITGB1
SEMA7A	REPIN1
SEMA7A	MAX
SEMA7A	IL10
BACH1	FOS
TAF1C	GTF2H2
APRT	SLC29A2
LAT	ATM
LAT	IL1RAP
IL1RAP	IFNA1
MAX	IL10
PAX2	LUC7L
CXCL8	FOS
ELAVL2	IL10
ATM	YWHAZ
PBX3	LMX1B
EFNB3	YWHAZ
REPIN1	IL10
REPIN1	CD47
YWHAZ	PPP3R1
COL4A2	CD47
