#tail	head
EEF2KMT	ZNF35
SF3B1	BRCA1
SF3B1	SSR3
SF3B1	HIST1H3B
SF3B1	TAF1B
SF3B1	MYC
SF3B1	YWHAE
SF3B1	CCT7
SF3B1	HNRNPA0
PFKL	NDUFS2
ERN1	TRAF2
ERN1	ETFA
WAS	WIPF3
WAS	CDC42
CTNND1	IGF1
CTNND1	MEP1B
CTNND1	ACTC1
CTNND1	HNRNPL
CTNND1	ABCB1
CTNND1	ACTB
CTNND1	RPSA
CTNND1	SMN1
SPZ1	AHCYL2
SPZ1	SMARCC1
SPZ1	NR2F2
SPZ1	NTRK3
GNB2	HDAC5
GNB2	WNT5A
GNB2	NUDC
GNB2	DRD1
GNB2	CCT7
GNB2	HTR6
GNB2	PIK3R5
GNB2	GNA15
GNB2	REPIN1
GNB2	SEMA7A
GNB2	HTT
GNB2	FGF6
CYP2D6	CYBA
EMD	SRRT
EMD	HNRNPK
EMD	HDAC5
EMD	SEC13
EMD	RB1
AHCYL2	HNRNPL
AHCYL2	PRMT2
AHCYL2	ACTN2
AHCYL2	CHRNB4
TEKT5	RHOXF2
IPO7	RNF4
IPO7	BRCA1
IPO7	ANG
IPO7	RB1
NSD3	MYC
NSD3	HOXC4
NSD3	RUNX1
SEC22A	GPR37L1
SEC22A	HNRNPL
SEC22A	RNF4
SEC22A	STX5
SEC22A	SEC13
SRSF7	HNRNPA2B1
SRSF7	HNRNPA0
SRSF7	WTAP
SRSF7	HNRNPK
SRSF7	PAXIP1
CCNH	POLR2L
CCNH	SMARCC1
CCNH	POLD3
SART1	POLR2L
SART1	MAX
CACNA2D1	PYGM
CACNA2D1	LMOD1
CACNA2D1	PRKCD
NOX1	EPX
CBLB	CYLD
HNRNPL	SCP2
HNRNPL	HPS5
HNRNPL	PPP2R2A
HNRNPL	KIAA1328
HNRNPL	HIST1H3B
HNRNPL	RPSA
HNRNPL	RNF4
CELSR3	MAX
KCNAB1	ONECUT1
RPS21	MAGOH
RPS21	RPS3
RPS21	MAX
RPS21	PPP2R2A
PRKCQ	PIK3R5
PRKCQ	IL1A
PRKCQ	GNG10
WIPI2	ATG12
RBBP8	IGFBP7
RBBP8	ABCB1
RBBP8	RB1
SLC2A2	AKR1B1
HDGFL2	HTR6
CCT7	FBXL5
CCT7	RFC1
