#tail	head
SLC15A1	TAMM41
CALU	RPL21
CALU	RAB11A
CALU	KIF1BP
CALU	ESR2
UBE2E3	HNRNPL
UBE2E3	FBXW4
UBE2E3	HERC6
MAPK3	KLB
MAPK3	AGTR1
MAPK3	KAT2B
MAPK3	ARRB1
MAPK3	UBE2V1
MAPK3	FRS2
MAPK3	OGA
MAPK3	KDR
ACSM5	HMGCS1
ACSM5	ALAS1
KLB	JAK2
OR1D2	CXCL2
RPL15	CUL1
RPL15	CAND1
RPL15	MTF1
RPL15	PPIE
RPL15	PAN2
RPL15	OGA
RPL15	EFTUD2
GNG4	SRC
GNG4	WNT8A
GNG4	GNAI2
GNG4	ANXA1
ZFYVE27	RAB11A
SRP19	RPS27
SRP19	EFTUD2
GARS	GTF2A1
GARS	OFD1
GARS	OSBP
CD3EAP	H3F3A
CD3EAP	CUL1
POLE	POLR2B
CCNE2	PSMD6
CACNA1G	ATF1
HLA-DOA	HLA-DRB4
HLA-DMB	DPM2
HNRNPL	RAB10
HNRNPL	FYTTD1
HNRNPL	HNRNPA0
HNRNPL	KPNA5
HNRNPL	SNX9
HNRNPL	BRCA1
HNRNPL	OGA
HNRNPL	C7orf50
HNRNPL	U2AF1
HNRNPL	SUCLA2
HNRNPL	UVSSA
HNRNPL	PPP4R4
HNRNPL	SNRPB
HNRNPL	PARP1
HNRNPL	OSBPL9
PSMD6	OAZ2
AGTR1	SRC
AGTR1	VAC14
AGTR1	INS
AGTR1	TGFB1
AGTR1	ARRB1
AGTR1	LTA
PRKCI	PLCG1
PRKCI	RAB4A
PRKCI	VDR
HIST1H2BE	RPS27A
HIST1H2BE	MAPKAPK3
HIST1H2BE	ELF3
BEX2	MIPOL1
BEX2	MAGEA4
HIST2H2AA4	HIST1H4K
HIST2H2AA4	HIST1H4B
HIST2H2AA4	MYC
HIST2H2AA4	PRMT1
FYN	HMGCS1
FYN	SP1
FYN	H3F3A
TRIP13	MYC
HIST1H4K	H3F3A
HIST1H4K	OGA
HIST1H4K	ATF1
HIST1H4K	NCOA3
HIST1H4K	PARP1
HIST1H4K	OSBP
HIST1H4K	BRD4
HIST1H4K	JUN
HIST1H4K	MAPKAPK3
SETDB1	INS
PSMF1	OAZ2
PSMF1	CUL1
FBXW4	A2M
FBXW4	UBE2V1
SLC27A4	RIPK4
SLC27A4	ESR2
SLC27A4	RRM2B
SLC27A4	SLC6A2
SLC27A4	PRPS2
SLC27A4	ATXN3
GTF2A1	NR2F2
GTF2A1	PRMT1
GTF2A1	VPS13C
GTF2A1	EDEM1
GTF2A1	TRPC5
GTF2A1	MAPKAPK3
GTF2A1	CDK9
A2M	RHOA
A2M	VDR
A2M	METRNL
A2M	INS
A2M	CDC42
SYNJ2	INS
SYNJ2	RPS27A
SYNJ2	SNX18
FUCA2	NUFIP2
ATF1	MYC
ATF1	CAND1
ATF1	CDC5L
ATF1	SUV39H1
ATF1	PCNA
EP400	PARP1
RPLP0	OGA
RPLP0	SNU13
RPLP0	INS
RPLP0	RPS18
RPLP0	RBM28
U2AF1	OGA
U2AF1	PRPF4B
U2AF1	U2AF1L4
U2AF1	EFTUD2
U2AF1	SUV39H1
U2AF1	FYTTD1
U2AF1	POLR2B
U2AF1	HNRNPA0
RIPK4	RHOT2
RIPK4	POLR2B
DNM1L	DCTN2
DNM1L	SUCLA2
DNM1L	ATXN3
DNM1L	SP1
MYH2	RHOA
INPP5A	ESR2
INPP5A	PLCG1
INPP5A	PRPS2
INPP5A	GNAI2
INPP5A	JAK2
INPP5A	IGLV3-27
ADORA2A	GNAI2
ADORA2A	JUN
ADORA2A	NRG1
ADORA2A	TGFB1
ADORA2A	GNG7
ADORA2A	CALM2
ADORA2A	GPR37
MKRN3	TCL1B
MKRN3	UBE2V1
MIPOL1	LRRC39
MIPOL1	CDC37
LTA	JAK2
SP1	HIST4H4
SP1	RPL8
SP1	HMGCS1
SP1	PRMT1
SP1	NR2F2
SP1	POLR2B
SP1	TMEM199
SP1	SPAG9
SP1	LAGE3
SP1	CDK9
SP1	NEFH
SP1	CAND1
SP1	EDEM1
SP1	MTF1
SP1	PRPS2
SP1	SUV39H1
RPN2	NDRG1
RPN2	EFTUD2
HLA-DRB4	KIF2C
TOP3A	RPS27A
TOP3A	PPIE
TOP3A	INS
SNRPB	CAND1
TNNI3	CALM2
TNNI3	MYH6
