#tail	head
ADCY7	GNG10
RFC4	YWHAZ
RFC4	MDM2
GSK3B	CCL2
GSK3B	ERBB2
GSK3B	ZFPM1
GSK3B	ESR1
GSK3B	GATA1
GSK3B	YWHAZ
GSK3B	STAT4
YTHDC1	SP1
MECOM	SP1
MECOM	NF1
MECOM	CDK2AP1
MECOM	FZD2
VSTM2A	GATA1
GPR18	ARG1
DARS	ESR1
CCL2	GDF9
CCL2	IGF1R
CCL2	SCT
CCL2	PRKCA
CCL2	SOD1
INHBC	NF1
BCOR	CDK2AP1
MDM2	GATA3
MDM2	SOD1
MDM2	IGF1R
MMP2	PRKCA
BARD1	HIST2H2AA4
BARD1	AURKB
ESR1	YWHAZ
ESR1	HLA-DRB1
ESR1	GNB4
ESR1	GDF9
ESR1	CSNK2A1
ESR1	CRIPAK
ESR1	SCT
ESR1	HIST2H2AA3
RDH13	PROSER2
GNGT2	DRD4
GNGT2	FZD2
GNGT2	IGKV1-5
MCL1	SP1
ARG1	RRAGD
GNG10	IGKV1-5
GNG10	KRT38
GNG10	DRD4
GNG10	GNAS
GNG10	FYN
GNG10	SCT
CDKN2A	BCL2L1
PCDHGA12	ERBB2
PSMC5	NF1
ZFPM1	GATA1
TMED7	KIF5A
FAM110A	CDC25B
TFDP1	HDAC2
TFDP1	GATA3
SLC36A2	STAT4
STAT4	IGF1R
GNAS	SCT
PIN1	SOD1
PIN1	SP1
PIN1	YWHAG
KIF1C	CSNK2A1
KIF1C	NF1
FYN	SOD1
FYN	STAT1
FYN	NTF4
GATA3	ERBB2
GATA3	SP1
MAP3K9	STAT1
LIX1	GATA1
FZD2	NTF4
FZD2	PRKCA
RAB1A	SP1
HIST2H2AA3	HDAC2
HIST2H2AA3	GATA1
ERBB2	SPHK1
ERBB2	PRKCA
ERBB2	STAT1
ERBB2	HLA-DRB1
DRD4	SCT
IGF1R	YWHAZ
RBM33	CSNK2A1
NTF4	GATA1
NTF4	SP1
SOD1	YWHAZ
PRKCA	NF1
PRKCA	GNB4
PRKCA	YWHAZ
CSNK2A1	STAT1
BCL2L1	SLC39A8
BCL2L1	STAT1
BCL2L1	CDC25B
SLC39A8	PPBP
PPBP	SP1
GRM8	GNB4
CDC25B	YWHAG
CDC25B	SP1
SP1	GATA1
SP1	YWHAZ
GNB4	PTGER4
GNB4	SCT
GATA1	HDAC2
YWHAZ	YWHAG
STAT1	YWHAG
