#tail	head
TLL2	HNF1A
POLR3K	BRF1
LRRK1	TCF25
GNG8	IGLC1
GNG8	ATP1B1
GNG8	FGF8
EFNB2	PAX4
EFNB2	DNM1
EPAS1	SMARCC1
EPAS1	YES1
UTS2B	GNG3
IRAK1	STIP1
IRAK1	CDC37
IRAK1	GNG3
IRAK1	MAP3K7
IRAK1	FGF8
IRAK1	GNG12
MT-ND5	NDUFAF1
MT-ND5	NDUFB9
HNF1A	SRC
HNF1A	PAX4
HNF1A	GNG3
HNF1A	NCOA3
HNF1A	YWHAE
HNF1A	DPH5
HNF1A	FOXO4
HNF1A	PRODH2
HNF1A	NOP16
HNF1A	S100A9
HNF1A	POU2F1
GTF3C3	MRPL50
GTF3C3	POLR1C
GTF3C3	BRF1
HDGF	FOXO4
CAPNS2	CAPN7
PPP3CB	GRIN2B
PPP3CB	POU2F1
MAPK1	STAT5A
MAPK1	AKT2
MAPK1	NCOA3
MAPK1	FGA
MAPK1	VDR
MAPK1	CSNK2A1
MAPK1	ESR1
MAPK1	YES1
MAPK1	SRC
FOXO4	NUDT3
FOXO4	CKB
FOXO4	CACNG2
FOXO4	DPYSL4
FOXO4	NFATC3
FOXO4	IP6K1
FOXO4	LONP2
FOXO4	DUSP1
FOXO4	GRIK3
FOXO4	VDR
FOXO4	POU2F1
FOXO4	ID3
FOXO4	AGL
SREK1	CSNK2A1
SREK1	PAX4
SREK1	HNRNPD
PAX4	IGF1
PAX4	SLC4A4
PAX4	CAMK2D
PAX4	DNM1
PAX4	MAPK10
PAX4	NCOA3
PAX4	GRIK3
PAX4	DPYSL5
POM121C	OBSL1
CKB	SEPHS1
ABHD15	STIP1
LEFTY2	ESR1
IREB2	ALAD
BAP1	HIST2H2AA3
BAP1	PSMD2
FCGR2A	GNG3
FCGR2A	GNG12
FCGR2A	CDC37
POU2F1	CDK9
POU2F1	SEPHS1
POU2F1	ESR1
POU2F1	FNBP1
POU2F1	BARD1
POU2F1	GRIK3
POU2F1	GRIA3
HSPA5	HNRNPA3
HSPA5	TRAF2
