#tail	head
ARRDC3	FOXO4
KLF5	UBC
CCT6B	TTLL9
CCT6B	WDR83
CWF19L2	DISC1
CWF19L2	CEP76
CORO1A	RABGAP1
HIST1H2BC	UBC
HIST1H2BC	IWS1
E2F1	ANAPC5
E2F1	HNRNPK
E2F1	XPR1
E2F1	POU4F1
LMNA	RPSA
LMNA	KPNA4
CBFA2T3	CD101
PLCG1	CD101
PLCG1	PRKACA
PLCG1	HCK
WDR83	HNRNPA2B1
POU4F1	TFDP1
TTLL9	ARL6IP5
SLC8A3	SCNN1D
ABI2	TRIM72
SGK1	ELAVL1
GABPB1	ARL5B
GABPB1	ATF1
GABPB1	NMNAT1
ESR2	SMARCD1
ESR2	PRMT1
ESR2	HIST1H4F
ESR2	NMNAT1
ESR2	HNRNPA2B1
HNRNPA2B1	KPNA4
HNRNPA2B1	CRBN
TBK1	HCK
TBK1	RARA
FGF8	UBC
FGF8	RFFL
IWS1	LLGL2
ELAVL1	UBC
ELAVL1	TFDP1
ELAVL1	LAMP1
FOXO4	CSNK2A1
GRM3	AREG
ARL6IP5	HNRNPK
CDC42EP4	LAMP1
VEGFA	ADAMTS1
IGHV3-23	AREG
IGHV3-23	HCK
NMNAT1	PRKACA
GDF5	ACVR1B
ACVR1B	TDGF1
HNRNPK	UBC
HNRNPK	RPSA
ANAPC5	C6orf141
PRIM1	C6orf141
ATF1	PRKACA
ATF1	CRBN
ATF1	AREG
AREG	PRKACA
PRKACA	IGFBP1
MYCN	POGK
MYCN	PRMT1
MYCN	UBC
CSNK2A1	KPNA4
CSNK2A1	IGFBP1
TIMP3	IGFBP1
HIST2H2AC	HOXD3
HIST2H2AC	HIST1H4F
HOXD3	SMARCD1
HOXD3	IGFN1
SERTAD2	IGFN1
RARA	HIST1H4F
SMARCD1	DISC1
CCDC68	RPSA
