#tail	head
ABHD5	MEIS1
VNN2	FZD6
MSH6	HIST1H3C
DAXX	PPARA
DAXX	HIST1H4J
ETFB	PPARA
ETFB	ACAD9
PIWIL1	DMXL2
PIWIL1	HENMT1
GNGT2	PRKCA
GNGT2	CXCR4
SH3RF1	SH3RF2
NCL	ARFGEF1
EPRS	PRKAA2
EPRS	BCAT1
EPRS	SGF29
EPRS	LAMTOR4
PRKAA2	AKAP8L
PRKAA2	PRKCA
EGF	IGKV1-5
EGF	ATG5
EGF	NAIP
AKAP8L	SH3RF2
AKAP8L	HSF4
KRT18	TXNDC11
CXCR4	NAIP
CXCR4	PPARA
MEIS1	HIST1H4J
MEIS1	ARFGEF1
HIST1H4J	SIRT1
ACAD9	DBT
SIRT1	HIST1H3H
MTHFD2L	PPARA
BACH1	SH3RF2
BACH1	CHMP4B
HIST1H3H	SGF29
HIST1H3H	RUVBL2
HIST1H3H	PRKCA
RUVBL2	HIST1H3C
SGF29	HIST1H3C
PRKCA	OCLN
NPY2R	DMXL2
SPPL2B	PIGU
ATP1B4	PPARA
SH3RF2	PPARA
CCR4	NAIP
PPARA	SOCS3
