#tail	head
ATG10	MAP1B
LRRK1	SCEL
SLC7A3	FOXO4
UBE2R2	HNF4A
UBE2R2	FOXO4
ZYX	TJP2
INPP5J	ACTR3
INPP5J	IGLV1-40
INPP5J	EPS15
INPP5J	ERBB3
ABI1	TLR9
ABI1	HLA-E
ABI1	IGHV4-59
GPSM1	VEZF1
GPSM1	TAS2R7
GPSM1	AGT
IGHG1	ERBB3
IGHG1	IGLV3-1
IGHG1	TLR9
IGHG1	PLA2G4F
IGHG1	GNB1
IGHG1	ITGB5
IGHG1	CYFIP2
IGHG1	HLA-E
EPS15	PIK3CB
EPS15	SMN2
CRKL	ABL1
CRKL	PTEN
CRKL	LMNA
CRKL	HNF4A
CRKL	SMN2
APOA1	ITGB5
APOA1	ZBTB33
ACTR3	HGS
ACTR3	FNBP1L
ACTR3	SMN2
ACTR3	NAPG
ACTR3	CYFIP2
ACTR3	MYC
ACTR3	LEF1
ACTR3	VAMP3
NAPG	LMNA
NAPG	ACTG1
NAPG	SLC3A2
NAPG	HNRNPDL
NAPG	SET
NAPG	IDH1
NAPG	PGK1
NAPG	SYNCRIP
NAPG	XRCC5
NAPG	VPS37B
NAPG	MOV10
FOXO4	GRAP2
FOXO4	SLC12A6
FOXO4	FXYD1
FOXO4	C6orf141
FOXO4	REST
FOXO4	TJP2
FOXO4	BEST2
HIST2H2AA4	HMG20B
HIST2H2AA4	REST
HIST2H2AA4	HIST2H4B
HIST2H2AA4	LMNA
FAM71E2	PLA2G4F
LEF1	MOV10
LEF1	MME
LEF1	DAZAP2
LEF1	GRAP2
LEF1	PAX2
LEF1	H3F3B
LEF1	CYFIP2
LEF1	ABL1
PTEN	AGT
PTEN	IGLV3-1
PTEN	IFNG
FXYD1	CAMK2B
FXYD1	ATP1A2
FOXC1	IDH1
IGHV4-59	TLR9
IGHV4-59	GRAP2
IGHV4-59	WASF3
IGHV4-59	PDPK1
SYNCRIP	SNRPD3
SYNCRIP	MYC
GRK5	HTR2A
SNRPD3	MYC
SNRPD3	PAXIP1
SNRPD3	CEP76
SNRPD3	MOV10
RRM2	CEP170
RRM2	PIGA
RRM2	SLC12A6
SLC12A6	ATP1A2
SLC12A6	IDH1
SLC12A6	ALDH3B1
CEP76	B9D2
CEP76	TXNDC9
CEP76	RPL23
ALDH3B1	MYC
ALDH3B1	ADH1B
B9D1	CLASP1
RPN2	RPN1
RPN2	MYC
MYOD1	PRKACA
MYOD1	EXOC6
MYOD1	MYC
MYOD1	ERBB3
CXCL12	HGS
CXCL12	IFNG
CXCL12	SSH1
C20orf194	RPL23
AKT2	MYO5A
AKT2	CAMK2B
AKT2	TLR9
FBXL7	PSMB7
PAXIP1	WDHD1
PAXIP1	HIST2H4B
SLC25A6	ERBB3
SLC25A6	NTRK1
GRAP2	HLA-E
GRAP2	ABL1
GDI2	MADD
CAMK2D	CYFIP2
CEP170	NTRK1
ATP6V1A	SET
ATP6V1A	NUDT2
PDPK1	PIK3CB
HNRNPDL	HGS
CYFIP2	WASF3
CYFIP2	PIK3CB
MADD	MYC
MADD	NUP37
NUDT11	MAD2L2
ATP1A2	HIST2H4B
ATP1A2	MFSD4B
ATP1A2	ATP6V1F
ATP1A2	SLC3A2
MAP1B	U2AF2
MYC	NUBP2
MYC	RPN1
MYC	PSMA1
MYC	HIST2H4B
MYC	BLOC1S1
MYC	TJP2
MYC	PDE6D
MYC	MAPK14
MYC	IFNG
MYC	PRKACA
HLA-E	GNB1
PSMA1	U2AF2
ATP6V1F	MOV10
WASF3	IGLV1-40
WASF3	PIK3CB
WASF3	HNF4A
KDM4A	HIST2H4B
PIGW	IDH1
NAMPT	AGT
GEMIN2	U2AF2
GEMIN2	SET
PIK3CB	ERBB3
PIK3CB	FNBP1L
PIK3CB	VAMP3
NDUFS7	PDK3
GABRB3	REST
PSMB7	HNF4A
ERBB3	ACTA2
ERBB3	HGS
IDH1	GPT2
IDH1	RPN1
DCAKD	FAM189A2
EXOC6	NTRK1
CEP250	PRKACA
CEP250	B9D2
CEP250	HIST2H4B
HNF4A	TTR
HNF4A	XRCC5
HNF4A	MOV10
HNF4A	EMC2
HNF4A	UBE2V1
HNF4A	NPTN
HNF4A	COPS5
HNF4A	WDR19
ACTA2	MYO3B
ACTA2	ITGB5
VPS4A	HGS
IGDCC4	OR3A2
COPS5	PDE6D
COPS5	RPN1
TRAF3IP1	DYNLL2
