#tail	head
GSTT1	HBB
HIST1H3I	IK
HIST1H3I	PRKCA
HIST1H3I	HIST3H2BB
HIST1H3I	RPL27A
HIST1H3I	RSL1D1
CD8A	CD59
PTPN11	GNAI3
PTPN11	CD59
PTPN11	IGKV1-5
PTPN11	EPHA2
UPF2	RPL6
UPF2	NCBP1
UPF2	RPL27A
RPL27A	GRB2
RPL27A	NCBP1
RPL27A	RSL1D1
RPL27A	CASC3
HIST3H2BB	KMT2C
HIST3H2BB	SUN1
NCBP1	IK
NCBP1	GABARAPL2
NCBP1	DDX39B
NCBP1	SRSF2
NCBP1	CASC3
CASC3	CHTOP
CASC3	ESR2
CASC3	RPL6
EEFSEC	RPL6
IK	SART1
IK	GRB2
IK	SRSF2
IK	DDX39B
IK	CWC22
IK	SRRT
SART1	CWC22
SART1	SRRT
HBB	ESR2
GNAI3	ESR2
ESR2	CHTOP
ESR2	SRRT
ESR2	CWC22
ESR2	IGKV1-5
ESR2	SRSF2
CHTOP	DDX39B
SRSF2	DDX39B
SRSF2	CWC22
SRSF2	SRRT
B2M	IGKV1-5
B2M	GRB2
CD59	GRB2
CD59	DDX39B
HIST1H2AE	KMT2C
HIST1H2AE	SUN1
HIST1H2AE	GABARAPL2
CASP8AP2	FAS
GABARAPL2	RPL6
FAS	PRKCA
PRKCA	IGKV1-5
RPL6	SRRT
IGKV1-5	GRB2
GRB2	EPHA2
GLUL	PYGB
CWC22	DDX39B
