#tail	head
OMD	FOXO4
ZCCHC12	MCRS1
ERG	CEBPA
UBE2E3	HERC4
UBE2E3	USP7
UBE2E3	TRIM27
UBE2E3	FSD1
UBE2E3	LEF1
RBBP6	UBE2M
RBBP6	HSF2
RBBP6	NR1H3
RBBP6	AMPD3
RBBP6	LEF1
DDB2	XRCC5
DDB2	UBE2M
DDB2	COPS5
DDB2	MCRS1
DDB2	RPA2
DDB2	SUMO2
CEBPA	HERC4
CEBPA	PPARG
CEBPA	SSR1
CEBPA	TSC22D3
CEBPA	MED4
CEBPA	TRA2B
CEBPA	PON2
CEBPA	CCDC183
MED4	MED11
MED4	HIST1H3F
MED4	PPARG
MED4	SSR1
MED4	MCRS1
MED4	THRAP3
CDCP1	AMPD3
CDCP1	THRAP3
CDCP1	KRT5
FSD1	AIDA
DNMT1	CGB3
DNMT1	CYP19A1
DNMT1	USP7
DNMT1	TSG101
DNMT1	STAT3
FOXO4	LRR1
FOXO4	YWHAH
FOXO4	USP7
FOXO4	LMO2
FOXO4	GNL2
FOXO4	MAZ
TSC22D3	DCLK2
TSC22D3	CARTPT
TSC22D3	CGB3
LHB	CYP19A1
LHB	PHB
LHB	PRL
LHB	HSF2
LHB	TRRAP
LHB	THRAP3
LEF1	CARD10
LEF1	MAP3K5
LEF1	RASGEF1B
LEF1	MAT2A
LEF1	CYP19A1
LEF1	AMPD3
LEF1	XRCC5
LEF1	DKK1
LEF1	YWHAH
LEF1	TSG101
LEF1	KPNA1
LEF1	FAM110A
LEF1	TRRAP
LEF1	RPA2
GOLGA2	MAZ
GOLGA2	FAM110A
GOLGA2	SNW1
DCLK2	LMO2
NCOR2	SUMO2
NCOR2	AKR1C3
NCOR2	PRL
NCOR2	INS
UBE2N	MAZ
UBE2N	CALM2
UBE2N	SUMO2
UBE2N	FBXL5
MED11	PPARG
CARD10	INS
SMTN	PON2
SMTN	EIF4A1
SMTN	KPNA1
SMTN	EIF3B
SMTN	CTTN
TNFRSF1A	PRL
TNFRSF1A	AKR1C3
TNFRSF1A	POR
TNFRSF1A	MAZ
DKK1	MAZ
MAT2A	HSF2
MAT2A	UBE2M
POLI	RPA2
STAT3	RPA2
STAT3	CHI3L1
STAT3	COPS5
STAT3	LMO2
ENTPD5	AK3
ENTPD5	B3GALT1
ENTPD5	GAPDHS
POR	INS
MAZ	BHLHE40
MAZ	MDM4
MAZ	TRRAP
EHHADH	TSG101
EHHADH	ACP6
KPNA1	NUP37
KPNA1	TRIM27
KPNA1	COPS5
KPNA1	USP7
PYGL	GAPDHS
PON2	SPINT1
PON2	HSP90B1
PON2	CTTN
PON2	SNW1
PON2	PRL
LSM2	SNW1
SPINT1	SSR1
SPINT1	EIF3B
SPINT1	HSP90B1
HSP90B1	LPL
HSP90B1	COPS5
HSP90B1	SSR1
HIST1H3F	GTF2I
HIST1H3F	XRCC5
HIST1H3F	ZNF512
HIST1H3F	THRAP3
AMPD3	HERC4
AMPD3	ACSL3
AMPD3	THRAP3
AMPD3	LRR1
NF2	XRCC5
NF2	MAP3K5
GSPT1	CASC3
GSPT1	SNW1
CTTN	SNW1
CTTN	USP7
CTTN	RPA2
CTTN	UBE2M
SLC25A41	HSF2
MCRS1	COPS5
MCRS1	BHLHE40
MCRS1	MAP3K5
MCRS1	INS
B3GALT1	AK3
INS	SUMO2
INS	NUP37
INS	CGB3
INS	NR1H3
INS	AIDA
INS	MAP3K5
INS	HERC4
INS	BHLHE40
INS	PRL
INS	PDCD7
MDM4	YWHAH
MDM4	USP7
COPS5	KRT5
COPS5	FBXL5
COPS5	BCL3
COPS5	USP7
COPS5	LRR1
UBE2M	YWHAH
UBE2M	RPA2
UBE2M	CALM2
UBE2M	LRR1
UBE2M	SNW1
UBE2M	XRCC5
UBE2M	EIF4A1
TSKU	CARTPT
LMO2	CALM2
USP7	RPA2
USP7	TRRAP
USP7	SNW1
USP7	PPARG
USP7	SSR1
NR1H3	BCL3
CASC3	PHB
ARL2BP	YWHAH
ARL2BP	ATP6V1G1
YWHAH	CEP162
YWHAH	CALM2
PRR11	GNL2
CYC1	CGB3
CYC1	PRL
ACSL3	AK4
ACSL3	ACP6
ACSL3	ACSM3
TRIM27	IGFN1
PRL	TRRAP
SUMO2	XRCC5
ACSM3	AK4
ACSM3	LPL
ACSM3	PPARG
CEP162	RPA2
RPA2	XRCC5
HSF2	HERC4
EIF4A1	SNW1
EIF4A1	SSR1
SNW1	TRA2B
SNW1	EIF3B
GAPDHS	RASGEF1B
GAPDHS	AKR1C3
GAPDHS	ACP6
CYP19A1	AKR1C3
THRAP3	CARTPT
THRAP3	CGB3
THRAP3	LPL
THRAP3	PPARG
LPL	PPARG
LPL	XRCC5
CGB3	AKR1C3
XRCC5	PPARG
NUP37	CCDC183
GTF2I	CALM2
