#tail	head
PDK1	ECI2
H3F3A	TAF5
H3F3A	NOG
H3F3A	TCF7L2
H3F3A	HIST1H2BB
LZIC	CCNC
ETS1	WDR81
BARHL1	PAX3
CDC6	ATM
CDC6	RAD9A
CDC6	E2F2
CDC6	HUWE1
CDC6	ATR
CDC6	ANAPC15
PAX3	MEIS1
PAX3	FOXO4
PAX3	WDR81
PAX3	GATA1
FOXO4	SREK1
FOXO4	GATA1
FOXO4	MEIS1
HAGH	GOLGA2
SREK1	CEP135
SREK1	NOG
DMC1	HIST1H2BB
DMC1	MEIS1
DMC1	HIST1H4B
DMC1	HIST1H4K
DMC1	ATM
MEIS1	POLR2G
MEIS1	HIST1H4F
MEIS1	NOG
COPB1	KIAA1328
COPB1	GOLGA2
TAF12	POLR2G
TAF12	GTF2H2
TAF12	HIST1H4K
TAF12	CCND2
HIST1H4K	HIST1H2BB
HIST1H4K	NCOA4
HIST1H4K	PHF8
HIST1H4K	GATA1
GOLGA2	CCNC
GOLGA2	ZNF512B
GOLGA2	C2CD6
PSME2	UBC
PSME2	ANAPC4
HUWE1	PSMC1
HUWE1	ATM
KRT15	CCNC
FANCD2	RAD9A
FANCD2	HIST1H4B
FANCD2	ATR
NOG	CCND2
NOG	HEYL
TCF7L2	HIST1H2BB
HIST1H2BB	HIST1H4F
HIST1H2BB	PHF8
HIST1H2BB	POLR2G
HIST1H2BB	UBC
HIST1H2BB	ATM
TAF5	GCM1
TAF5	POLR2G
PSMC1	NCOA4
PSMC1	CCND2
KIF13B	ARF6
AP3S2	ARF6
ANAPC4	UBC
ZNF512B	ANAPC15
ATM	UBC
ATM	GTF2H2
ATM	ATR
ATM	RAD9A
ATR	HIST1H4F
APOBEC2	GATA1
UBC	POLR2G
UBC	GTF2H2
UBC	ANAPC15
GATA1	ARF6
POLR2G	HIST1H4B
HIST1H4B	NCOA4
HIST1H4B	PHF8
NCOA4	HIST1H4F
