#tail	head
INO80B	RBAK
NTMT1	DIS3
MMP9	SLCO2B1
RPL39	RPL21
RPL39	RPL9P8
RPL39	RPS14
RPL39	SSR4
RPL39	SRPRA
AHCYL2	DPH5
PABPC1	FAU
PABPC1	RPS14
PABPC1	RPA3
PABPC1	RPL36AL
MYH11	ACTN2
MYH11	CACNA2D3
MYH11	SMC3
CDK6	LEF1
CAD	GABARAPL2
CAD	CFTR
NIPAL3	MFF
GPER1	GNB1
GPER1	EGR1
SORBS2	HNRNPK
SORBS2	GNB1
SORBS2	WDR5
SORBS2	RPSA
TCTN1	CEP57
HIST1H4J	EP300
HIST1H4J	EED
HIST1H4J	TCF7L1
HIST1H4J	SMC3
HIST1H4J	CHD4
HIST1H4J	H2AFJ
SYMPK	HNRNPK
SYMPK	UBE2I
PYGO2	LEF1
PYGO2	WDR5
IL1B	EGR1
IL1B	ARNT
IL1B	INS
IL1B	SLCO5A1
IL1B	IFNA13
IL1B	EGFR
IL1B	HIST2H4A
LEF1	RTP1
LEF1	H2AFJ
LEF1	DPH5
LEF1	EP300
LEF1	REEP3
LEF1	PITPNC1
LEF1	GRM3
LEF1	MEIS1
LEF1	UBE2I
SCRIB	LNX1
SCRIB	ACTN2
ACLY	RPSA
MFF	TMEM140
FAU	NCBP2
FAU	SRPRA
ATP2A2	STIM1
ATP2A2	APP
CDC27	NCOR1
CDC27	UBE2C
CEP57	RPS14
CEP57	HIST1H4F
IRF1	IFNA13
IRF1	MOV10
ATF1	CREBBP
ATF1	RPL9P8
DDX47	EXOSC1
TES	CFTR
POU2F1	TCF7L1
POU2F1	ATP2B1
POU2F1	CACNA2D3
POU2F1	HIST1H4F
POU2F1	SLC24A1
POU2F1	HNRNPK
POU2F1	INS
POU2F1	APP
POU2F1	UNC45A
ITPR1	PRKCG
ITPR1	IGHV2-70
ITPR1	STXBP1
ITPR1	GNB4
RPLP0	NOM1
RPLP0	CFTR
RPLP0	SSR4
RPLP0	RPSA
POLR2E	SF3A3
PRDX5	HNF4A
IFNA7	FZD3
CFAP57	ETS1
ADORA2A	GNB1
ADORA2A	IFNA13
SSX2IP	CC2D2A
WAPL	PAFAH1B1
WAPL	RPA3
E4F1	RPL36AL
E4F1	GRM3
E4F1	ORMDL3
E4F1	MEIS1
E4F1	GNB1
THPO	IFNAR2
RPL14	MOV10
RPL14	CDH2
RPL14	HNRNPA1
RFX1	RPL32
RFX1	CACNA2D3
SLCO5A1	APP
CHD4	EWSR1
CHD4	RBM15
CHD4	RPSA
CHD4	HNRNPK
CHD4	RPL23A
RPSA	FCHO2
RPSA	SSR4
SCN1A	APP
CEP41	INS
HIST1H4F	MEIS1
HIST1H4F	EGFR
HIST1H4F	MYBBP1A
HIST1H4F	UBE2I
IFNA21	CREBBP
REEP3	OR2G2
REEP3	OR11H6
NCOR1	UBE2I
NCOR1	BMP2
NCOR1	HIST1H4B
NCOR1	H2AFJ
NCOR1	H2AFX
GRAP2	IGHV2-70
HNRNPA1	GABARAPL2
HNRNPA1	HSP90AB1
HNRNPA1	PPIL3
HNRNPA1	EED
ATP2B1	ETS1
ATP2B1	PAFAH1B1
ETS1	CREBBP
ETS1	FGFR4
FAM49B	PPIL3
STIM1	PAFAH1B1
STIM1	INS
STIM1	IFNGR1
STIM1	ACTN2
PRKCG	HSP90AB1
SLC24A1	CDH2
SLC24A1	SLC4A5
SLC24A1	CACNA2D3
MED25	CDK19
STXBP1	APP
STXBP1	SLC1A3
STXBP1	POLG2
PINK1	HNF4A
CFTR	MOV10
CFTR	EGFR
EED	PDCD11
EED	RPS14
EED	HNRNPK
EED	MYBBP1A
CTTN	UNC45A
CTTN	EPSTI1
CTTN	HSP90AB1
CTTN	GNB1
CTTN	FCHO2
CTTN	ARNT
SRPRA	RPL23A
HNF4A	NCBP2
HNF4A	IGFBP1
HNF4A	DIS3
HNF4A	SMC3
HNF4A	H2AFX
HNF4A	FZD3
HNF4A	ARNT
HNF4A	IFNGR1
HSP90AB1	LNX1
HSP90AB1	SSR4
HSP90AB1	HUWE1
HSP90AB1	CDC37
INS	RBM15
INS	ARNT
INS	FOSL1
INS	NCBP2
INS	PPARGC1A
INS	SNRPN
INS	CREBBP
CREBBP	EP300
CREBBP	FOSL1
CREBBP	IFNA13
CREBBP	PPARGC1A
RPL9P8	EXOSC1
RPL9P8	MOV10
UBE2I	BMP2
UBE2I	EP300
LAMP1	DAG1
LAMP1	FCHO2
IFNA13	APP
IFNA13	IL1R1
IFNA13	UBE2C
IFNA13	EP300
IFNA13	EPSTI1
IFNA13	JCHAIN
DLGAP4	EGR1
SLCO2B1	ATG12
SLCO2B1	EP300
CDC37	FGFR4
MYBBP1A	WDR5
SLC1A3	SLC4A5
LNX1	REEP6
CLTCL1	TTC30A
GRM3	BMP2
FGFR4	EGFR
FGFR4	MTA3
GPT2	APP
RPL36AL	RPL21
RPL36AL	SSR4
H2AFX	SMC3
H2AFX	MEIS1
H2AFX	EGFR
H2AFX	WDR5
H2AFX	ARNT
H2AFX	HIST1H4B
RPS14	SSR4
HNRNPK	RPL23A
HNRNPK	RPA3
HNRNPK	PPIL3
ARNT	BMP2
GABARAPL2	WDR5
GNB1	CXCR5
GNB1	EGFR
SCN3B	TMEM140
RPL21	SSR4
SNRPN	NCBP2
EGFR	SMC3
EGFR	HUWE1
EGFR	SSR4
EGFR	HIST2H4A
HIST1H4B	APP
REEP6	OR9A2
TTLL12	UBE2C
EGR1	PAFAH1B1
CC2D2A	PAFAH1B1
NACA	HUWE1
MEIS1	PAFAH1B1
PSMA3	HUWE1
SMC3	RPA3
HUWE1	SSR4
ACTN2	SLC8A2
RPA3	UNC45A
FZD3	IFNA6
APP	HIST2H4A
HIST2H4A	NAA40
