#tail	head
EEF2KMT	ZNF35
ANXA6	KRT10
PDE4A	PRKAR2A
PDE4A	DCK
GATA2	NOG
CHAC2	GSR
TRAP1	TPM3
TRAP1	FMR1
TRAP1	INS
FOXH1	RBM46
RPL37A	RPL7A
RPL37A	JUN
RPL37A	NCL
RPL37A	PRKAB2
PDE4B	PRKAB2
PDE4B	KRT6B
PDE4B	POU3F1
GARS	JUN
CEBPA	BOC
CEBPA	SPI1
CEBPA	JARID2
CEBPA	RB1
CEBPA	HTR2C
CEBPA	TCF7L1
CEBPA	RSPRY1
CEBPA	SEH1L
CEBPA	AGL
SART1	PRPF40A
SART1	HIST1H3G
SART1	NCL
FGFR3	INS
SORBS2	RSPRY1
SORBS2	SEPHS1
SORBS2	FMR1
SORBS2	ACAT1
SORBS2	DCP1B
SORBS2	EDC3
SORBS2	PPP1CA
MSL1	HIST1H4J
MSL1	HIST1H2BG
MSL1	HIST1H2BF
MSL1	NXF1
NOTCH2NLA	POU2F1
NOTCH2NLA	NXF1
HIST1H4J	HIST1H2BG
HIST1H4J	POU2F1
HIST1H4J	NSD2
HIST1H4J	HIST1H2AD
SIGLEC12	TUBGCP3
GMPR2	GSR
GMPR2	HSD17B7
IGF2BP3	EIF2B2
IGF2BP3	DICER1
IGF2BP3	TUBGCP3
MAFG	TOMM70
CCDC97	PAXIP1
KRTAP10-1	OTX1
MT1A	JUN
MT1A	KRT6B
MT1A	KRT10
PRMT6	HIST1H2BG
PRMT6	HIST1H2BF
PRMT6	HIST1H3H
NOG	DCK
NOG	HIST1H3C
NOG	ADORA2B
NOG	GDF10
NOG	KBTBD2
NOG	FARP1
NOG	HTR2C
NOG	CCDC146
NOG	PHF10
NOG	FNDC4
NOG	DPYD
NOG	HIST1H3H
SEH1L	NUP107
NUP133	RAE1
NUP133	UPF3B
NUP133	SUMO1
NUP133	ALYREF
GCK	AGL
POU2F1	FOXF2
POU2F1	OTX1
POU2F1	PNMA1
POU2F1	HIST1H3G
POU2F1	SPI1
CHRNA5	GNAI2
RSPRY1	ACAT1
RSPRY1	FARP1
GHITM	FNDC4
RNH1	JUN
CDK5RAP2	NINL
CDK5RAP2	LINC01587
WDR61	HIST1H3G
WDR61	HIST1H2BG
WDR61	HIST1H3C
WDR61	HIST1H3A
TCF7L1	INS
PLAT	ATP7A
CACNG8	GNAI2
CACNG8	TNNT2
LXN	INS
HIST4H4	HIST1H3H
HIST4H4	SUMO1
HIST4H4	JARID2
HIST4H4	NSD2
HIST4H4	PRKAB2
HIST4H4	HIST1H2BM
ITGB3BP	HSD17B7
ITGB3BP	RB1
ITGB3BP	NUDC
ITGB3BP	HIST1H2BG
ITGB3BP	HIST1H2BF
PAXIP1	TPM3
PAXIP1	JUN
AKAP12	KAT2B
RB1	GSR
RB1	NCL
RB1	DCK
RB1	ZCCHC8
RB1	JUN
RB1	KAT2B
BMP8B	MAP3K7CL
EIF3I	HIST1H2BG
EIF3I	INS
EIF3I	MAX
ALYREF	MAGOHB
ALYREF	NXF1
ALYREF	NCL
HIST1H3G	SPI1
HIST1H3G	E2F7
HIST1H3G	HIST1H2AD
UNC119	PHF10
UNC119	LAMA4
ETS1	RAE1
ETS1	PNMA1
ETS1	HTR2C
ETS1	SPI1
LASP1	HIST1H3A
TM7SF2	INS
TM7SF2	GSR
PPP1R10	PPP1CA
PPP1R10	FNDC4
TMEM200A	FHOD1
ZNF35	MAX
ERCC2	ACAT1
ERCC2	SUMO1
BTK	IGKV2D-30
BTK	FASLG
NRF1	INS
NRF1	MZT2B
NRF1	SNRPD2
NRF1	FHOD1
NRF1	SNAP29
NRF1	NUP107
HSD17B7	JUN
HIST1H2AD	JUN
HIST1H2AD	HIST1H2BF
FHOD1	JUN
FHOD1	INS
SPI1	PPP1CA
SPI1	HIST1H2AJ
SPI1	PTPRJ
SNAP29	PPP1CA
ZNF317	INS
GDNF	JUN
GNAI2	PLEKHA7
GNAI2	PRKAR2A
GNAI2	SEPHS1
GNAI2	INS
NSD2	HIST1H3A
NSD2	HIST1H2BG
NSD2	SUMO1
TDP2	FLI1
HIST1H2AA	HIST1H3A
HIST1H2AA	FOXK2
HIST1H2AA	USP22
HIST1H2AA	HIST1H2BG
NUDC	MAX
NUDC	NUP107
NUDC	ELK1
NUDC	PLEKHA7
EDC3	SEPHS1
INS	ATP7A
INS	KAT2B
INS	JUN
INS	PPP1CA
SNRPD2	RBM8A
SNRPD2	JUN
