#tail	head
P4HA1	COL5A2
MAEA	PRG3
MAEA	TRIM14
MAEA	MAX
PDHB	ENPP1
PDHB	PIGW
KREMEN2	ZEB1
P3H2	COL11A1
SPDL1	HIST1H3H
SPDL1	EPB41L2
MDM2	APP
MDM2	EEF1G
MDM2	INS
MDM2	PPP6R3
MDM2	PSMD1
KLF12	SREBF1
TDG	NRF1
TDG	MYC
COL26A1	VWCE
AURKA	APP
AURKA	HIST1H3H
AURKA	NRF1
AURKA	MYC
ATRX	HIST1H3H
NOMO1	TRIM55
FLNA	TRIM55
FLNA	COL11A1
KPTN	APP
EPB41L2	MLF1
EPB41L2	APP
PSMD5	COPS8
PSMD5	APP
PSMD5	MAX
MYC	MAX
MYC	ARHGEF7
MYC	HIST1H3H
MYC	CXCL8
CYFIP1	APP
CYFIP1	GNG7
SREBF1	MAX
SREBF1	CXCL8
SREBF1	TRIM55
SREBF1	INS
SPOPL	PSMD10
NRF1	MAX
NRF1	ZEB1
NRF1	TFAM
GNG12	CRHR2
GNG12	TAAR5
GNG12	ADORA2A
PIGW	ENPP1
LYG1	INS
HIST1H3H	CXCL8
MAX	ARHGEF7
MAX	PSMD10
PSMD1	RMND5A
TRIM14	TFAM
TRIM14	ZEB1
CXCL8	GNG7
CXCL8	COL12A1
CXCL8	ADORA2A
CXCL8	APP
CXCL8	ZBED4
APP	ZEB1
APP	RMND5A
APP	GNG7
APP	CRHR2
GNG7	CRHR2
COL5A2	COL11A1
ADORA2A	INS
EPGN	ARHGEF7
MLH1	PSMD10
ENPP1	CA7
MLF1	INS
MLF1	FBH1
COPS8	PSMD10
