#tail	head
DGAT1	PLCB2
MKRN1	INS
FBXW9	CCT8
FBXW9	DCUN1D3
FBXW9	COMMD8
FBXW9	DCUN1D5
FBXW9	UBE2S
SPINK1	CTRB1
SPINK1	NRSN1
SPZ1	HMGA1
SPZ1	TSEN54
MCPH1	ATM
KRAS	RPS25
KRAS	PSMC3
CCT8	SPINT1
CCT8	DNM1L
NFATC1	HMGA1
NFATC1	ATF1
NFATC1	CACNB1
NFATC1	PML
DCUN1D3	WSB2
DCUN1D3	SPINT1
DCUN1D3	INS
CYP1A1	CASP7
RPS10	EIF3B
RPS10	EEF1B2
RPS10	RPS15A
RPS10	EEF1A1
TUBG1	RPS15A
TUBG1	EEF1A1
RPS15A	EIF3B
RPS15A	JUN
JUN	DEUP1
JUN	GTF2F1
JUN	HIST1H2BG
JUN	ELAVL2
JUN	PSMC3
JUN	HMGA1
JUN	PSMC1
JUN	PEX5
ARID5B	MYC
ATP2C1	FAF2
MYC	ATF1
MYC	EEF1B2
MYC	INS
MYC	UBE2S
MYC	HIST1H2BG
MYC	PSMC1
MYC	IL6
MYC	MKRN3
MYC	COMMD8
MYC	CASP7
MYC	OAZ2
MYC	DDB1
MEOX2	MMP3
MEOX2	PSMC1
IL6	PML
IL6	INS
IL6	HIST1H2BG
DCUN1D5	COMMD8
DCUN1D5	DDB1
DCUN1D5	WSB2
GTF2F1	PRPF31
PLA2G4B	AANAT
OAZ2	PSMC3
OAZ2	PSMC1
SPINT1	PCBP2
SPINT1	EIF3B
C10orf82	MKRN3
AANAT	FAR1
PEX5	MKRN3
PEX5	TYSND1
RNF7	MKRN3
RNF7	UBE2S
AQP3	GK
PML	HACE1
EIF3B	HIST1H2BG
EIF3B	RPS25
PEX10	TYSND1
PCBP2	ELAVL2
PCBP2	HMGA1
PCBP2	PRPF31
CASP7	INS
FAR1	ACOT12
EEF1A1	ATF1
ELAVL2	PRPF31
DDB1	PSMC1
RNF24	INS
GOLGA3	ATXN7
UBE2S	GLMN
EEF1B2	DNM1L
EEF1B2	HIST1H2BG
ATM	HIST1H2BG
MKRN3	PRPF31
GK	INS
INS	HMGA1
COMMD8	WSB2
