#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol
P35626	P61073	1	IL4	16	physical	ADRBK2	CXCR4
P31749	P43405	1	IL4	16	physical	AKT1	SYK
Q92934	Q07817	1	IL4	16	physical	BAD	BCL2L1
Q07817	Q92934	1	IL4	16	physical	BCL2L1	BAD
P22681	P27986	1	IL4	16	physical	CBL	PIK3R1
P22681	O00459	1	IL4	16	physical	CBL	PIK3R2
P25942	P24394	1	IL4	16	physical	CD40	IL4R
P49715	P42226	1	IL4	16	physical	CEBPA	STAT6
P17676	P42226	1	IL4	16	physical	CEBPB	STAT6
Q92793	Q71DI3	1	IL4	16	Acetylation	CREBBP	HIST2H3C
Q92793	Q7KZF4	1	IL4	16	physical	CREBBP	SND1
Q92793	P42226	1	IL4	16	physical	CREBBP	STAT6
Q92793	P42226	1	IL4	16	Acetylation	CREBBP	STAT6
P61073	P35626	1	IL4	16	physical	CXCR4	ADRBK2
P61073	Q05397	1	IL4	16	physical	CXCR4	PTK2
O60496	P24394	1	IL4	16	physical	DOK2	IL4R
O60496	P20936	1	IL4	16	physical	DOK2	RASA1
Q09472	Q71DI3	1	IL4	16	Acetylation	EP300	HIST2H3C
Q09472	Q9Y6Q9	1	IL4	16	physical	EP300	NCOA3
Q09472	P42226	1	IL4	16	physical	EP300	STAT6
Q09472	P42226	1	IL4	16	Acetylation	EP300	STAT6
P14921	P42226	1	IL4	16	physical	ETS1	STAT6
P07332	P24394	1	IL4	16	physical	FES	IL4R
P07332	P35568	1	IL4	16	Phosphorylation	FES	IRS1
P07332	Q9Y4H2	1	IL4	16	Phosphorylation	FES	IRS2
P07332	P23458	1	IL4	16	physical	FES	JAK1
P07332	P27986	1	IL4	16	physical	FES	PIK3R1
P07332	O00459	1	IL4	16	physical	FES	PIK3R2
Q9UQC2	P27986	1	IL4	16	physical	GAB2	PIK3R1
Q9UQC2	O00459	1	IL4	16	physical	GAB2	PIK3R2
Q9UQC2	Q06124	1	IL4	16	physical	GAB2	PTPN11
P62993	Q92835	1	IL4	16	physical	GRB2	INPP5D
P62993	P35568	1	IL4	16	physical	GRB2	IRS1
P62993	Q9Y4H2	1	IL4	16	physical	GRB2	IRS2
P62993	P29353	1	IL4	16	physical	GRB2	SHC1
P62993	Q07889	1	IL4	16	physical	GRB2	SOS1
Q16695	P42226	1	IL4	16	physical	HIST3H3	STAT6
P35225	P24394	1	IL4	16	physical	IL13	IL4R
P78552	P24394	1	IL4	16	physical	IL13RA1	IL4R
P31785	P05112	1	IL4	16	physical	IL2RG	IL4
P31785	P24394	1	IL4	16	physical	IL2RG	IL4R
P31785	P52333	1	IL4	16	physical	IL2RG	JAK3
P05112	P31785	1	IL4	16	physical	IL4	IL2RG
P05112	P24394	1	IL4	16	physical	IL4	IL4R
P24394	P25942	1	IL4	16	physical	IL4R	CD40
P24394	O60496	1	IL4	16	physical	IL4R	DOK2
P24394	P07332	1	IL4	16	physical	IL4R	FES
P24394	P35225	1	IL4	16	physical	IL4R	IL13
P24394	P78552	1	IL4	16	physical	IL4R	IL13RA1
P24394	P31785	1	IL4	16	physical	IL4R	IL2RG
P24394	P05112	1	IL4	16	physical	IL4R	IL4
P24394	Q92835	1	IL4	16	physical	IL4R	INPP5D
P24394	P35568	1	IL4	16	physical	IL4R	IRS1
P24394	Q9Y4H2	1	IL4	16	physical	IL4R	IRS2
P24394	P23458	1	IL4	16	physical	IL4R	JAK1
P24394	O60674	1	IL4	16	physical	IL4R	JAK2
P24394	P52333	1	IL4	16	physical	IL4R	JAK3
P24394	Q05513	1	IL4	16	physical	IL4R	PRKCZ
P24394	Q06124	1	IL4	16	physical	IL4R	PTPN11
P24394	P29350	1	IL4	16	physical	IL4R	PTPN6
P24394	P29353	1	IL4	16	physical	IL4R	SHC1
P24394	O75159	1	IL4	16	physical	IL4R	SOCS5
P24394	P42226	1	IL4	16	physical	IL4R	STAT6
P24394	P43405	1	IL4	16	physical	IL4R	SYK
Q92835	P62993	1	IL4	16	physical	INPP5D	GRB2
Q92835	P24394	1	IL4	16	physical	INPP5D	IL4R
Q92835	P23458	1	IL4	16	physical	INPP5D	JAK1
Q92835	P52333	1	IL4	16	physical	INPP5D	JAK3
Q92835	P29353	1	IL4	16	physical	INPP5D	SHC1
P35568	P62993	1	IL4	16	physical	IRS1	GRB2
P35568	P24394	1	IL4	16	physical	IRS1	IL4R
P35568	P23458	1	IL4	16	physical	IRS1	JAK1
P35568	P52333	1	IL4	16	physical	IRS1	JAK3
P35568	P27986	1	IL4	16	physical	IRS1	PIK3R1
P35568	O00459	1	IL4	16	physical	IRS1	PIK3R2
P35568	Q06124	1	IL4	16	physical	IRS1	PTPN11
P35568	Q07889	1	IL4	16	physical	IRS1	SOS1
Q9Y4H2	P62993	1	IL4	16	physical	IRS2	GRB2
Q9Y4H2	P24394	1	IL4	16	physical	IRS2	IL4R
Q9Y4H2	P23458	1	IL4	16	physical	IRS2	JAK1
Q9Y4H2	P52333	1	IL4	16	physical	IRS2	JAK3
Q9Y4H2	P27986	1	IL4	16	physical	IRS2	PIK3R1
Q9Y4H2	O00459	1	IL4	16	physical	IRS2	PIK3R2
Q9Y4H2	Q06124	1	IL4	16	physical	IRS2	PTPN11
P23458	P07332	1	IL4	16	Phosphorylation	JAK1	FES
P23458	P07332	1	IL4	16	physical	JAK1	FES
P23458	P24394	1	IL4	16	Phosphorylation	JAK1	IL4R
P23458	P24394	1	IL4	16	physical	JAK1	IL4R
