#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol
P78536	P08138	1	BDNF	76	Proteolytic	ADAM17	NGFR
P31749	Q92934	1	BDNF	76	Phosphorylation	AKT1	BAD
P31749	P67809	1	BDNF	76	Phosphorylation	AKT1	YBX1
P23560	P16870	1	BDNF	76	physical	BDNF	CPE
P23560	P01138	1	BDNF	76	physical	BDNF	NGF
P23560	P08138	1	BDNF	76	physical	BDNF	NGFR
P23560	P20783	1	BDNF	76	physical	BDNF	NTF3
P23560	Q16620	1	BDNF	76	physical	BDNF	NTRK2
P23560	Q99523	1	BDNF	76	physical	BDNF	SORT1
P19022	P35222	1	BDNF	76	physical	CDH2	CTNNB1
P19022	Q16620	1	BDNF	76	physical	CDH2	NTRK2
Q00535	Q16620	1	BDNF	76	Phosphorylation	CDK5	NTRK2
Q00535	Q16620	1	BDNF	76	physical	CDK5	NTRK2
O76039	P63000	1	BDNF	76	physical	CDKL5	RAC1
CDKR1	Q16620	1	BDNF	76	physical	CDKR1	NTRK2
P16870	P23560	1	BDNF	76	physical	CPE	BDNF
P16220	Q6UUV9	1	BDNF	76	physical	CREB1	CRTC1
Q6UUV9	P16220	1	BDNF	76	physical	CRTC1	CREB1
P35222	P19022	1	BDNF	76	physical	CTNNB1	CDH2
P35222	P04629	1	BDNF	76	physical	CTNNB1	NTRK1
P35222	Q16620	1	BDNF	76	physical	CTNNB1	NTRK2
P35222	Q16288	1	BDNF	76	physical	CTNNB1	NTRK3
Q12959	P42261	1	BDNF	76	physical	DLG1	GRIA1
Q8IZD9	P06241	1	BDNF	76	physical	DOCK3	FYN
Q9P104	Q16620	1	BDNF	76	physical	DOK5	NTRK2
Q8WU20	P62993	1	BDNF	76	physical	FRS2	GRB2
Q8WU20	Q06124	1	BDNF	76	physical	FRS2	PTPN11
O43559	P62993	1	BDNF	76	physical	FRS3	GRB2
O43559	Q06124	1	BDNF	76	physical	FRS3	PTPN11
P06241	Q8IZD9	1	BDNF	76	physical	FYN	DOCK3
P06241	Q16620	1	BDNF	76	physical	FYN	NTRK2
P28472	P63244	1	BDNF	76	physical	GABRB3	GNB2L1
P28472	P67775	1	BDNF	76	physical	GABRB3	PPP2CA
P63244	P28472	1	BDNF	76	physical	GNB2L1	GABRB3
P62993	Q8WU20	1	BDNF	76	physical	GRB2	FRS2
P62993	O43559	1	BDNF	76	physical	GRB2	FRS3
P62993	Q06124	1	BDNF	76	physical	GRB2	PTPN11
P62993	O14492	1	BDNF	76	physical	GRB2	SH2B2
