#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol
Q8IZP0	Q9Y6W5	1	TCR	11	physical	ABI1	WASF2
P00519	P43403	1	TCR	11	physical	ABL1	ZAP70
P24666	P43403	1	TCR	11	Dephosphorylation	ACP1	ZAP70
P31749	Q04759	1	TCR	11	physical	AKT1	PRKCQ
P52566	P29353	1	TCR	11	physical	ARHGDIB	SHC1
P52566	P15498	1	TCR	11	physical	ARHGDIB	VAV1
Q15052	Q13153	1	TCR	11	physical	ARHGEF6	PAK1
Q14155	Q14161	1	TCR	11	physical	ARHGEF7	GIT2
Q14155	Q13153	1	TCR	11	physical	ARHGEF7	PAK1
O95999	Q9BXL7	1	TCR	11	physical	BCL10	CARD11
O95999	O43353	1	TCR	11	physical	BCL10	RIPK2
Q9Y6J0	P16298	1	TCR	11	physical	CABIN1	PPP3CB
Q9BXL7	O95999	1	TCR	11	physical	CARD11	BCL10
Q9BXL7	Q92918	1	TCR	11	physical	CARD11	MAP4K1
Q9BXL7	P43403	1	TCR	11	physical	CARD11	ZAP70
P22681	P46108	1	TCR	11	physical	CBL	CRK
P22681	P06241	1	TCR	11	physical	CBL	FYN
P22681	P62993	1	TCR	11	physical	CBL	GRB2
P22681	Q9Y2R2	1	TCR	11	physical	CBL	PTPN22
P22681	Q9H6Q3	1	TCR	11	physical	CBL	SLA2
P22681	P43405	1	TCR	11	physical	CBL	SYK
P22681	P27348	1	TCR	11	physical	CBL	YWHAQ
P22681	P43403	1	TCR	11	physical	CBL	ZAP70
Q13191	P46109	1	TCR	11	physical	CBLB	CRKL
Q13191	P62993	1	TCR	11	physical	CBLB	GRB2
Q13191	P43405	1	TCR	11	physical	CBLB	SYK
Q13191	P43403	1	TCR	11	physical	CBLB	ZAP70
P06729	O43586	1	TCR	11	physical	CD2	PSTPIP1
P20963	P16410	1	TCR	11	physical	CD247	CTLA4
P20963	Q92608	1	TCR	11	physical	CD247	DOCK2
P20963	P62993	1	TCR	11	physical	CD247	GRB2
P20963	P52333	1	TCR	11	physical	CD247	JAK3
P20963	P26045	1	TCR	11	physical	CD247	PTPN3
P20963	P29353	1	TCR	11	physical	CD247	SHC1
P20963	Q13239	1	TCR	11	physical	CD247	SLA
P20963	Q9H6Q3	1	TCR	11	physical	CD247	SLA2
P20963	P42229	1	TCR	11	physical	CD247	STAT5A
P20963	P51692	1	TCR	11	physical	CD247	STAT5B
P20963	Q6PIZ9	1	TCR	11	physical	CD247	TRAT1
P20963	Q13432	1	TCR	11	physical	CD247	UNC119
P20963	P43403	1	TCR	11	physical	CD247	ZAP70
P10747	P33681	1	TCR	11	physical	CD28	CD80
P10747	P27986	1	TCR	11	physical	CD28	PIK3R1
P10747	O00459	1	TCR	11	physical	CD28	PIK3R2
Q9Y5K6	O43586	1	TCR	11	physical	CD2AP	PSTPIP1
P04234	P07766	1	TCR	11	physical	CD3D	CD3E
P04234	-	1	TCR	11	physical	CD3D	TRA@
P04234	P04435	1	TCR	11	physical	CD3D	TRB@
P07766	P04234	1	TCR	11	physical	CD3E	CD3D
P07766	P09693	1	TCR	11	physical	CD3E	CD3G
P07766	P16333	1	TCR	11	physical	CD3E	NCK1
P07766	P19338	1	TCR	11	physical	CD3E	NCL
P07766	-	1	TCR	11	physical	CD3E	TRA@
P07766	Q6PIZ9	1	TCR	11	physical	CD3E	TRAT1
P07766	P04435	1	TCR	11	physical	CD3E	TRB@
P07766	Q13432	1	TCR	11	physical	CD3E	UNC119
P07766	P43403	1	TCR	11	physical	CD3E	ZAP70
P09693	P07766	1	TCR	11	physical	CD3G	CD3E
P09693	-	1	TCR	11	physical	CD3G	TRA@
P09693	P04435	1	TCR	11	physical	CD3G	TRB@
P01730	O43561	1	TCR	11	physical	CD4	LAT
P01730	P06239	1	TCR	11	physical	CD4	LCK
P01730	Q13432	1	TCR	11	physical	CD4	UNC119
P06127	P29350	1	TCR	11	physical	CD5	PTPN6
P06127	P43403	1	TCR	11	physical	CD5	ZAP70
P33681	P10747	1	TCR	11	physical	CD80	CD28
P33681	P16410	1	TCR	11	physical	CD80	CTLA4
P42081	P16410	1	TCR	11	physical	CD86	CTLA4
P01732	O43561	1	TCR	11	physical	CD8A	LAT
P01732	P06239	1	TCR	11	physical	CD8A	LCK
P60953	P42768	1	TCR	11	physical	CDC42	WAS
P17676	Q9NSC5	1	TCR	11	physical	CEBPB	HOMER3
O15111	P25963	1	TCR	11	Phosphorylation	CHUK	NFKBIA
Q9NSE2	Q04759	1	TCR	11	physical	CISH	PRKCQ
