#tail	head
KRT18	CD4
RANGAP1	TCF3
ARPC1B	SMN1
HIST1H4K	SLC28A1
EZH2	HIST1H2BI
MYOD1	PRKCB
HNF1B	BMP4
CAMK2G	UBP1
FANCL	DOCK8
VDAC3	HIST1H2BI
ZFC3H1	DOCK8
CDKN1A	PCBP4
GOLT1B	LMNA
GOLT1B	ADGRE5
SMO	BMP4
NR5A2	HIST2H2AA3
FAAP20	FAAP100
RXRA	NONO
DDX20	USO1
HERPUD2	HIST1H4H
SPTAN1	SMC4
ARRB1	WNT6
PTGES	HMOX1
IAPP	NFKBIA
EDNRA	TP53
HIST1H2BI	MYL12A
SRRM1	HNRNPK
ERVFRD-1	TP53
PCBD1	NFKBIA
BCL2L2	TP53
TAL1	WNT6
SMN1	AAAS
NFKBIA	MCM7
FUS	PA2G4
MRPS11	MRPL1
TCF3	MRPL39
TCF3	ATP1B1
NOX4	TP53
TOMM22	PHLDA3
TOMM22	HSD17B12
KMT2B	HIST2H2AA3
TRPM2	PRKCB
TP53	MYO18A
PA2G4	RNF20
