#tail	head
TAF9	POLR2D
POLR2D	RPRD2
ZNF593	MAPK8IP2
HIST2H3C	NR5A2
NKAPD1	SF3A1
FYTTD1	PTPRG
GAPDHS	PTPRG
PRR20E	RBFOX1
SAT1	ALPG
PYGL	ATP1B4
PYGL	CHRNB4
HDAC10	HIST1H2AI
ALPG	ACSL4
PPARGC1A	ESRRA
DAP3	RRS1
BCL2L2-PABPN1	BHLHA9
GOLPH3L	ENTPD7
SEC23B	SH3KBP1
PRKAG1	CRX
HNF4A	RNF4
HNF4A	ELL3
HNF4A	RPS28
HNF4A	MALL
VCAM1	ALDOA
SYNE4	NCAPD3
SLC11A2	SH3KBP1
VDAC1	CFTR
SRRM2	SF3A2
SF3A1	FNBP1L
PNKD	TAF12
FBP2	SUCLG1
TERF2IP	HIST2H2BE
HIST1H3C	SMC2
HLA-A	CBL
PPP2CB	PLEKHA7
HSD17B4	ACADM
H2AFV	POT1
ACPP	SUCLG1
PANK1	ESRRA
USP46	HIST2H2BE
HIST2H3A	HIST2H2BE
