#tail	head
RPL26L1	CASC3
CAMKK2	RXRB
CAMKK2	IRAK1
TTR	HSPA1B
TTR	RLF
TTR	MYL4
ATP4A	PHKA2
ATP4A	ACSL1
ATP4A	PHKB
ATP4A	SUCLA2
ATP4A	RAB11A
EED	ABCF1
EED	KDM1A
EED	FUBP1
EED	ZEB1
EED	CPSF1
FUBP1	ACSL1
FUBP1	NTRK1
FUBP1	PHKA2
FUBP1	PHKB
FUBP1	SUCLA2
STRN4	NTRK1
STRN4	ZNF211
STRN4	GIPC1
STRN4	ZEB1
NT5DC3	ZNF211
NT5DC3	ZEB1
ACY1	BPNT1
ACY1	ODC1
ACY1	MTR
ACY1	RXRB
ABCF1	KDM1A
ABCF1	NTRK1
PLGRKT	HYOU1
PLGRKT	MYO6
RAB11A	HYOU1
RAB11A	SLC2A1
RAB11A	NTRK1
KDM1A	NTRK1
KDM1A	HSPA1B
KDM1A	CCDC93
KDM1A	ZEB1
RXRB	JADE2
PHKB	PHOSPHO2
PHKB	BPNT1
PHKB	SUCLA2
PHKB	PHKA2
PHKB	NTRK1
ODC1	SLC2A1
FAM171A1	NTRK1
FAM171A1	MYO6
CASC3	CPSF1
PHOSPHO2	ZEB1
PHOSPHO2	SLC2A1
PHOSPHO2	SUCLA2
PHOSPHO2	PHKA2
ACSL1	BPNT1
ACSL1	SLC2A1
ACSL1	NTRK1
ACSL1	SUCLA2
SLC2A1	MYO6
SLC2A1	IRAK1
SLC2A1	GIPC1
HSPA1B	NTRK1
HSPA1B	NEK8
MYL4	RLF
MYO6	NTRK1
MYO6	CPSF1
MYO6	GIPC1
IRAK1	NGF
GIPC1	NGF
GIPC1	NTRK1
HYOU1	NTRK1
PHKA2	SUCLA2
PHKA2	BPNT1
ZEB1	NGF
ZEB1	JADE2
CPSF1	NTRK1
SUCLA2	NTRK1
SUCLA2	BPNT1
NEK8	MTR
NGF	NTRK1
CCDC93	JADE2
CCDC93	NTRK1
MTR	NTRK1
