#tail	head
RHOJ	ARHGAP26
UBXN1	CDK4
USPL1	TAF1
NEK4	SRSF2
NEK4	RIOK1
PDE4B	ADRB2
SLC22A6	SULT1A1
IBTK	EIF4A1
TAF1	PIAS1
ACAD8	SRGAP3
FTL	SPINK7
HUWE1	HIST2H2BE
CDK7	CDK4
TRIP4	THRAP3
SLC9A3R1	TGM2
EGR3	PITPNA
RPN2	HEPHL1
INTS7	INTS10
RHOT1	SRGAP3
EGR1	LHB
DCAF11	PPP2R5E
CDK4	STAT5B
RPS4X	RPS16
DNMT3B	NEDD8
INTS10	INTS3
NSF	ADRB2
DNAJC13	CLK1
PRL	LHB
EIF4A1	MTHFR
RPL22L1	RPS13
NEDD8	RPL9P9
KIF14	ATP5ME
CYP3A4	AADAC
SRRM2	TWF1
SRRM2	MED4
EIF5B	RPS16
SVIL	HIST1H2AB
ADRB2	IL1B
FGFR3	VAV2
MGRN1	UBB
ZFPL1	ERGIC2
