#tail	head
INTU	EME1
CXADR	PLEKHA7
CXADR	RRBP1
HIST1H4B	HIST1H2AA
HIST1H4B	TCF7L2
HIST1H4B	SETD1A
HIST1H4B	EP400
HIST1H4B	KDM4B
HIST1H4B	HDAC3
HIST1H4B	BRD4
HIST1H4B	RNF2
SETD1A	HIST1H2BH
SETD1A	HIST1H4D
SETD1A	RNF2
SETD1A	HIST1H3A
SETD1A	KPNA3
SETD1A	KIN
SETD1A	PCBP1
SETD1A	SH3GL1
SETD1A	LMO7
SETD1A	RRBP1
SETD1A	PLEKHA7
MRPS33	MRPS12
MRPS33	MRPS15
MRPS33	MRPL58
PLEKHA7	EPSTI1
PLEKHA7	RRBP1
PLEKHA7	LMO7
PLEKHA7	SH3GL1
LMO7	COMMD5
LMO7	HIST1H1A
LMO7	HDAC3
HIST1H2AA	PCBP1
HIST1H2AA	HIST1H3A
HIST1H2AA	HIST1H4D
MRPL4	PCBP1
MRPL4	MRPS12
MRPL4	MRPL58
MRPS12	MRPS15
SH3GL1	KIN
SH3GL1	PCBP1
SH3GL1	RPS27A
SH3GL1	RRBP1
HDAC3	HIST1H3A
HDAC3	HIST1H1A
HDAC3	HIST1H4D
RNF2	HSPA4
RNF2	HIST1H2BH
HIST1H3A	TCF7L2
HIST1H3A	HIST1H2BH
HIST1H3A	HIST1H4D
HIST1H3A	HSPA4
HIST1H3A	KDM4B
HIST1H3A	XPC
HIST1H3A	RPS27A
RRBP1	KPNA3
RRBP1	PCBP1
RRBP1	EPSTI1
HIST1H4D	HIST1H1A
HIST1H4D	CBX5
HIST1H4D	EP400
HIST1H4D	TCF7L2
HIST1H4D	BRD4
HIST1H4D	HIST1H2BH
HIST1H4D	XPC
GLI3	OFD1
MRPL58	MRPS15
CBX5	KPNA3
CBX5	HIST1H1A
EME1	RPS27A
EME1	ELK1
KDM4B	HSPA4
HIST1H1A	HIST1H2BH
ELK1	HSPA4
ELK1	COMMD5
ELK1	PCBP1
BRD4	PCBP1
TCF7L2	HIST1H2BH
