#tail	head
GTPBP1	RAB17
CD74	HSPA1B
CD40	PSMA7
CD40	PSMB1
CANX	RRP12
CCNE2	PSMB1
CCNE2	PSME2
SIRT1	HSPA1B
SIRT1	PSME3
SIRT1	NR1H4
SIRT1	USP37
EFTUD2	PSMA7
EFTUD2	USP37
EFTUD2	PSME3
EFTUD2	HSPA1B
EFTUD2	RRP12
EFTUD2	PAXBP1
EFTUD2	DDX3X
STIP1	IKBKE
STIP1	PPID
PSME2	PSMD8
PSME2	PSME3
PSME2	PSMB1
RAB7A	PSMA7
DDX3X	KPNB1
PSMB1	IKBKE
CSNK1A1	PSME3
PSME3	PSMD8
PSME3	BAP1
PSME3	PSMA4
PSME3	IKBKE
HSPA1B	BAP1
KPNB1	STK4
PAXBP1	USP37
TKFC	IKBKE
PSMD8	PSMA7
PSMD8	BAP1
PSMD8	PSMA4
BAP1	SMS
PSMA4	CDC26
PSMA7	CDC26
CDC26	USP37
