#tail	head
TAS2R14	GNB5
TUBB3	GNAI1
TUBB3	HCAR3
HIST1H2BA	APP
HIST1H2BA	SETD1A
HIST1H2BA	DEK
FXYD1	SLC22A4
FXYD1	GNG12
FXYD1	GNG7
FXYD1	TNF
PLG	TNF
PLG	SLC30A1
PLG	GNAI1
PLG	IGF1
PLG	SLC30A7
PLG	CXCL2
EHMT1	CTBP2
SETD1A	SORBS2
SETD1A	USP7
IGKV3-11	NCKAP1
IGKV3-11	VAV1
SLC30A7	PSPH
SLC30A7	IGF1
RASSF7	FRMD6
RASSF7	GGCT
GNB5	EREG
GNB5	TAS2R30
GNB5	APP
FCHO1	EREG
GNG12	GNAI1
GNG12	TAS2R30
GNG12	CXCL2
GNG12	GPR4
GNG12	NCKAP1
EREG	HRAS
EREG	SOS1
EREG	VAV1
HSD17B12	DEK
HSD17B12	PCK1
HCAR3	GNG7
HCAR3	RAP1B
HCAR3	PRLR
HCAR3	GNAI1
GNG7	NCKAP1
GNG7	SOS1
GGCT	GGT3P
NRAS	SOS1
NRAS	NCKAP1
NRAS	VAV1
NRAS	HRAS
NRAS	PPP5C
PSPH	SLC30A1
PSPH	PCK1
VAV1	SOS1
VAV1	HRAS
VAV1	NCKAP1
PRLR	TNF
PRLR	SLC30A1
SOS1	HRAS
SOS1	NCKAP1
PPP5C	HRAS
PPP5C	TNF
PPP5C	GNAI1
NCKAP1	HRAS
PTGIS	HPGDS
SLC30A1	TNF
SORBS2	KPNA1
APP	IGF1
APP	TNF
APP	GSR
APP	FRMD6
APP	PCK1
APP	FBXL7
APP	GNAI1
GSR	HRAS
GSR	TNF
KLKB1	TNF
KDM5B	RBBP4
IGF1	TNF
IGF1	DEK
IGF1	PCK1
IGF1	HRAS
CTBP2	DEK
TNF	RAP1B
TNF	SLC22A4
USP7	KPNA1
KPNA1	RBBP4
DEK	HRAS
PCK1	GNAI1
GNAI1	HRAS
