#tail	head
OCEL1	SRPK1
LMO3	NR3C1
LMO3	TCF3
LMO3	KXD1
LMO3	HNF4A
WDHD1	EGLN3
WDHD1	MGME1
SRPK1	SRSF1
SRPK1	TCF3
SRPK1	ZRSR2
SRPK1	SRPK2
NOTCH1	NR3C1
NOTCH1	TCF3
NOTCH1	UBB
NOTCH1	AKT1
SLC39A11	GPC1
ZRSR2	SRSF1
ZRSR2	SRPK2
SRSF1	FYTTD1
SRSF1	HNF4A
SRSF1	SRPK2
SRSF1	NR3C1
MGME1	HNF4A
IPO8	EGLN3
ODAPH	GPC1
EGLN3	CHD1L
EGLN3	THOC1
EGLN3	TCF3
EGLN3	VAPA
MDK	AKT1
MDK	TCF3
MDK	SRPK2
PRSS37	LRP5
PRSS37	LRP6
THOC1	FYTTD1
NCOA2	HNF4A
NCOA2	NR4A1
NCOA2	NR3C1
NCOA2	AKT1
NR3C1	NR4A1
NR3C1	TCF3
NR3C1	UBB
NR3C1	AKT1
NR3C1	MOSPD2
NR3C1	ITPR3
NR3C1	SRPK2
NR3C1	HNF4A
KXD1	ITSN2
LRP6	UBB
LRP6	LRP5
LRP6	TCF3
LRP6	WNT9B
MOSPD2	VAPA
VAPA	ITPR3
UBB	AKT1
UBB	SKP1
UBB	NR1D1
GPC1	WNT9B
MYOG	ITSN2
MYOG	SYNE3
MYOG	LRP5
MYOG	NR1D1
MYOG	TCF3
CHD1L	HNF4A
CHD1L	NR4A1
ITSN2	TCF3
SRPK2	AKT1
NR1D1	HNF4A
ITPR3	AKT1
ITPR3	TCF3
AKT1	NR4A1
AKT1	HNF4A
HNF4A	LRP5
HNF4A	NR4A1
HNF4A	TCF3
WNT9B	TCF3
SYNE3	TCF3
SKP1	TCF3
NR4A1	TCF3
LRP5	TCF3
