#tail	head
WISP2	TNF
ALDH16A1	IL1B
ATXN7L1	ZIC1
NUP35	PML
SYK	CPSF6
ZMYND8	ESF1
HIST1H4B	RAD21
HIST1H4B	SIRT7
MAST1	SNTB2
IGF2BP1	GTF3A
GLYR1	ELL3
MLLT6	NSD3
SRF	CLEC18C
TNXB	ITGB6
TNF	CYP26B1
CLP1	CPSF6
SP1	PDX1
IGF2BP3	YBX3
HIST1H4L	TNFRSF1A
YWHAH	SNRPE
ICAM1	DDX17
NTRK1	CARM1
ORC1	POLE3
LAMA1	TUBG1
TPM1	SHTN1
HDAC3	DDX17
HIST3H2A	TRRAP
SLTM	NFE2L1
KAT5	RAD51
KAT5	EXO1
PRCC	NOG
DHX16	DDX17
CDK9	NFE2L1
LURAP1L	NFE2L1
HIST1H4A	H2AFV
CCDC102A	ZIC1
PTBP2	NOG
SNRPE	PHF5A
MAP1LC3B	PML
PML	NUP214
KHSRP	NOG
TUBG1	HAUS6
