#tail	head
TOR1A	SNAPIN
RNF2	APP
IGLV1-51	ITPR1
PARP1	LDLR
PARP1	VDR
RANBP3	F7
PDE4B	GUCY2D
APP	PSME1
RHEB	TNF
SEMA6C	APOA2
ULBP2	ANKRD12
THOP1	XYLB
S100A12	INS
F7	ATM
EXOSC4	KRR1
EXOSC4	IVNS1ABP
RNASEL	CTSL
TNF	NDUFA4
GFPT1	PPP2R1A
GCG	GRP
UBQLN1	RAD51
UBQLN1	GUCA2B
UBQLN1	TMEM37
PRMT3	SCN5A
PIK3R1	IGHV4-34
PIK3R1	YES1
INS	GAPVD1
INS	PPCDC
UPF1	RBM3
EPN1	SYT9
MYBPC1	ATP2B2
DYNC1H1	ITGB3BP
OR8D2	SLC9A8
AP3B1	AP3S1
PI4K2A	SYT9
ETF1	RPL10A
CTSL	ADGRG2
MYL9	CATSPER1
HAS1	UGDH
TRAPPC11	PPBP
RPL18A	PPP2R1A
