#tail	head
PLCB1	PHB2
P2RX3	MMP2
ITGAL	SRC
NRIP1	CSE1L
NRIP1	ABCC2
PHB2	LGALS1
PHB2	SRC
PHB2	METTL14
PHB2	TOMM40
PHB2	SRRT
FUBP1	TOMM40
FUBP1	INS
FUBP1	CUL3
FUBP1	LGALS1
FUBP1	VCAM1
MMP2	FOXM1
MMP2	INS
MMP2	SLC31A1
MMP2	CCL2
MMP2	VCAM1
MMP2	ATP7A
MMP2	SRC
MMP2	LTF
MMP2	LGALS1
VCAM1	PPIA
VCAM1	CSE1L
VCAM1	SRC
VCAM1	INS
VCAM1	RPS7
VCAM1	LGALS1
POLD1	INS
POLD1	CUL3
HPRT1	INS
HPRT1	LTF
HPRT1	CUL3
HPRT1	ATP7A
HPRT1	SRC
INS	TMEM171
INS	ATP7A
INS	SRC
INS	CCL2
INS	LGALS1
INS	ABCC2
INS	FOXO4
INS	RPS7
INS	PPIA
INS	LTF
FOXM1	DLX1
TMEM171	CCL2
TMEM171	CSE1L
ATP7A	SLC31A1
ATP7A	LTF
ATP7A	ABCC2
ATP7A	PPIA
RPS7	CUL3
CSE1L	CIAO2B
ATOX1	SLC31A1
ATOX1	ABCC2
SEMA6A	FOXO4
ACOX1	DECR1
ACOX1	ACOT8
ABCC2	SRC
ABCC2	LGALS1
ACOT8	PPIA
LTF	SLC31A1
METTL14	PPIA
SRC	TOMM40
SRC	SRRT
CUL3	PPIA
CUL3	SRRT
