#tail	head
SDC1	MAPK1
IGHD	GRB2
GNG2	CNR2
GNG2	ARF6
SLX4	NUP50
IRS2	SP1
APBA2	HERC2
TPTE2	SH3GL1
NCLN	ESR2
TBL1Y	SMARCC2
HSPA12B	NOG
GAPDHS	UGDH
PJA1	USP20
ACTN4	SERPINH1
BTK	DGKG
IFNA4	TYK2
EPS15L1	SERPINH1
LEP	ESR2
KLRG2	TIMP3
SIRT5	HECW2
RRAS	NOG
SP1	LZTS2
SP1	MGARP
POLR2A	TAF6
INS	D2HGDH
INS	DNAJC4
SCAPER	NOG
CDC42	DIAPH2
BAD	RFX1
APOBEC3F	SH3GL1
DNAJB6	NOG
RFX1	HM13
MT2A	TRAPPC12
ESR2	INTS6
ESR2	NUSAP1
LAMA4	ITGA2
ALDH2	SHC3
INPPL1	TUBB2B
NOG	TMLHE
NOG	AGAP1
NOG	YBEY
NOG	SH3GL3
SERPINH1	COL11A1
USP5	SH3GL1
