#tail	head
FTH1	PLBD1
PPP2R1A	RAD21
PPP2R1A	RFC2
PPP2R1A	PRKACB
PPP2R1A	CKAP5
PPP2R1A	CENPK
PPP2R1A	MTMR14
PPP2R1A	E2F1
PPP2R1A	PPP1R1B
PPP2R1A	CUL4A
PPP2R1A	RPL17
PPP2R1A	EIF4A3
PPP2R1A	HNRNPA1
RBPMS	PRMT2
RBPMS	C9orf24
PHKG1	PRKACB
PHKG1	MTMR14
CKAP5	CENPK
CKAP5	RAD21
PLBD1	MTMR14
RPL17	HNRNPA1
RPL17	MTOR
RPL17	HIST1H2AB
RPL17	RAD21
RPL17	EIF4A3
C1orf109	C9orf24
C1orf109	PDE4DIP
C9orf24	SP1
PRKACB	PPP1R1B
PRKACB	PDE4DIP
PRKACB	SP1
MTMR14	SP1
HIST1H2AB	E2F1
HIST1H2AB	CUL4A
HIST1H2AB	HNRNPA1
HIST1H2AB	RAD21
HIST1H2AB	CENPK
E2F1	SP1
E2F1	HNRNPA1
E2F1	LIN37
E2F1	PRMT2
PRMT2	HNRNPA1
EIF4A3	HNRNPA1
LIN37	PDE4DIP
MTOR	SP1
SP1	LIG3
SP1	HNRNPA1
RFC2	NFATC1
RFC2	LIG3
RFC2	CUL4A
CENPK	RAD21
CENPK	CUL4A
LIG3	NFATC1
LIG3	CUL4A
HNRNPA1	NFATC1
RAD21	CUL4A
