#tail	head
RPL37A	KNOP1
HNF1A	RRM1
H2AFZ	RAD18
HIST1H2BF	CUL3
RPL36A	RPL10A
RPL36A	RPL26L1
SREBF1	NEUROD2
TCAP	CHRNA7
TCAP	GRIN1
OXTR	CDK5R1
OXTR	CHRNA7
SLC25A13	SP1
CNOT1	NTRK1
CNOT1	ADRA1B
ATP6V1G2	SLC34A3
TUBD1	TUBE1
SRSF10	PAXIP1
CYP19A1	SGK1
CYP19A1	SORBS1
ATP1A3	SLC12A3
CNGA1	CHRNA7
CNGA1	SORBS1
CNGA1	CACNG6
CNGA1	P2RX1
CNGA1	SYT1
ENO2	SP1
ADRA1B	CHRNA7
CCL5	SP1
ZNF641	GSTP1
DCTN1	CUL3
RAD18	RPL10A
SOCS6	CAND1
SOCS6	DCUN1D1
GRIN1	SLC12A3
GRIN1	PPFIA1
CHRNA7	SP1
CHRNA7	RB1
CHRNA7	SORBS1
SP1	NTRK1
SP1	RB1
SP1	NEUROD2
SP1	MYH11
FOXJ1	PHTF2
ADPRHL2	IGSF8
NTRK1	SYT1
NTRK1	DPYSL3
ZFP36L2	SMC6
KNOP1	MYBBP1A
DPYSL3	DNAAF2
CSGALNACT2	SYT1
ACTN2	SYT1
ACTN2	MYH11
ACTN2	IGSF8
FOXI1	PHTF2
CACNG6	PPFIA1
CACNG6	MYH11
GSTP1	RNPEP
P2RX1	MYH11
P2RX1	SYT1
CUL3	MYBBP1A
POLD2	POLR2G
