#tail	head
UBA3	UBE2D2
RSC1A1	ODC1
FAH	SLC7A9
SKAP2	APP
SKAP2	SNRPN
DST	NOG
NOG	CCND3
NOG	DCAF6
NOG	MLXIPL
NOG	SEZ6
NOG	SLC4A7
NOG	SNRPN
USP37	RB1
RPA3	RPA1
RPA3	HIST1H4D
RPA3	EXOSC7
RPA3	MCM2
RPA3	THOC7
RPA3	UBXN1
CRELD1	ZEB1
ZEB1	APP
ZEB1	HFM1
MCM4	MCM2
E2F5	RB1
SNRPN	MTREX
UBE2D2	MCM2
UBE2D2	OR5F1
IL36G	MCM2
ACIN1	THOC7
MTREX	SRSF3
MTREX	THOC7
APP	AR
APP	WDFY3
WDFY3	DCAF6
THOC7	RPA1
EXOSC7	MLXIPL
EXOSC7	RPA1
EXOSC7	ESR2
RPA1	MCM2
RPA1	CTNNB1
HLA-DRB1	CTNNB1
MCM2	CTNNB1
MCM2	ESR2
MCM2	HIST1H4D
MYL2	ZFAND1
CTNNB1	ESR2
HIST1H4D	ESR2
HIST1H4D	RB1
AR	ESR2
AR	MTNR1B
