#tail	head
OR5K2	RTP4
MEIS1	PAFAH1B1
MEIS1	FAM76B
PRKCB	HIST1H3F
PRKCB	PRKACB
PRKCB	ORAI1
PRKCB	STAT5A
PRKCB	HBEGF
DYNC1H1	PPP2R5D
DYNC1H1	KATNB1
DYNC1H1	SEPT2
DYNC1H1	PGR
DYNC1H1	RPA2
RAB5C	ARRB1
RAB5C	LDHB
RBMX	ESR2
RBMX	STAT5A
RBMX	BUD31
MAGED1	BAG4
TMEM67	CNTRL
TMEM67	PAFAH1B1
TMEM67	LEF1
TMEM67	CEP70
SNRPF	BUD31
SNRPF	LSM6
SNRPF	PAFAH1B1
SNRPF	SRSF10
SNRPF	SRSF3
EPHA10	DUSP6
EPHA10	PTPN1
EPHA10	PTPRS
CAB39L	PRKAB2
CAB39L	PRKAA1
HIST1H3F	BUD31
HIST1H3F	ZMYND11
URI1	CTR9
ETS2	NDUFA4
ETS2	NIPAL2
ETS2	PRKACB
ETS2	TUSC3
PSMF1	APP
PSMF1	PPP2R5D
CLTCL1	ACTR2
NDUFB11	NDUFV3
NDUFB11	ECSIT
APBA3	APP
APBA3	CTR9
ACTR2	ARRB1
ACTR2	ESR2
PRKACB	STAT3
PRKACB	GNAZ
PLCD1	PIP5K1A
LSM6	SRSF3
LSM6	SRSF2
STK38L	LEF1
RBM15	RPA2
RBM15	TRIR
PIP5K1A	ESR2
PIP5K1A	BAG4
PIP5K1A	ROCK2
PIP5K1A	HBEGF
HEY2	HEY1
NDUFS5	NDUFV3
NDUFS5	ECSIT
ARHGEF7	GIT1
ARHGEF7	CAMK4
ESR2	IGKC
ESR2	NUDT2
ESR2	SGPL1
ESR2	AKAP13
ESR2	HOXA1
TRIR	APP
TRIR	SRSF2
KCNH5	PGR
MAP1LC3A	BAG4
MAP1LC3A	SRSF10
PRKAB2	PRKAA1
PRKAB2	STAT5A
OR5M8	REEP5
GNAZ	PRKCD
GNAZ	APP
ROCK2	APP
U2AF1	SRSF3
KATNAL1	KATNB1
NDUFV2	NDUFA8
KATNB1	PAFAH1B1
MNAT1	POLD2
MNAT1	RPA2
RASGRP1	BCR
CEP70	PAFAH1B1
RHO	HTR3A
STAT5A	HBEGF
STAT5A	MAPK9
GIT1	ADSS
PAPSS1	PAFAH1B1
BAG4	IGLV1-47
KIT	APP
KIT	IGLV1-47
KIT	IGKC
KIT	DUSP6
KIT	LEF1
KIT	BCR
RPA2	CDK8
RPA2	EXOSC7
MAPK9	APP
RSRC1	TSSC4
RSRC1	EXOSC7
IGKC	C1QB
SRSF10	SRSF2
SRSF10	SEPT2
TUSC3	HTR3A
TUSC3	NDUFA8
NDUFV3	NDUFA4
SRSF2	BUD31
STAT3	CAMK2G
PDE6C	NPR1
PDE11A	PRKAA1
CNTRL	PAFAH1B1
NDUFA8	CAMK2G
SEPT2	PAFAH1B1
PRKAA1	APP
APP	SLC39A6
APP	GAPDHS
APP	LEF1
EPS15L1	LEF1
WDYHV1	PCBD1
