#tail	head
CDC5L	ILF2
STON2	INPP5J
NSD2	ESR2
MRPL21	MRPS35
E2F2	MED13
OXA1L	MRPS22
OXA1L	CHCHD1
IGHV3-53	DAGLA
DAGLA	IGHV3-13
STIM1	ESR2
CABYR	BRCA1
MRPS35	ABCC2
TRPC5	PPFIA1
MRPS2	CHCHD1
MRPS2	ESR2
MRPS2	MRPS12
MRPS2	MRPS18C
MRPS2	MRPL44
IGHV3-13	INPP5J
IGHV3-13	TRPC7
MRPL46	MRPL41
MRPS12	MRPL44
BRCA1	RFC2
BRCA1	HIST1H3G
CCT4	TRIM25
COP1	CCT3
MRPS18C	MRPS23
MRPS18C	MRPL44
INPP5J	ESR2
MRPS23	MRPL41
MRPS23	HIST1H3G
CHCHD1	MRPL44
CHCHD1	GFM1
TCF25	DERL1
TCF25	ESR2
CCT6A	CCT3
CDK4	HIST1H3G
HIST1H3G	ESR2
ESR2	RDH13
