#tail	head
TEDC2	FEZ2
TEDC1	ALOX5
DECR2	DHRS9
DECR2	MTHFD1
DECR2	PECR
DECR2	CYP24A1
SYK	FCRL3
SYK	DPP9
SYK	YES1
SYK	SRC
CREB1	POU2F1
MMP2	ALOX5
MMP2	SNAI1
MMP2	SRC
CDKN1A	ALOX5
ALOX5	NOG
TLK2	NOG
NOG	BMPER
NOG	BMP6
NOG	POU2F1
NOG	MTHFD1
NOG	PIM2
NOG	ATF2
NOG	SMAD9
PIM2	POU2F1
PIM2	FBH1
CYP51A1	DHRS9
CYP51A1	MTHFD1
CYP51A1	CBR3
SMAD9	BMP6
SMAD9	ATF2
PECR	FMO5
PECR	CBR3
PSMC6	DHRS9
MAP4K5	GSK3B
LIMS1	ATF2
ZFAND2B	HIST1H1A
SRC	HIST1H3G
TYMS	MTR
RBP2	ADH4
ADH4	DHRS9
ADH4	ZADH2
ACVR1C	POU2F1
ATF2	POU2F1
HIST1H1A	HIST1H3G
POU2F1	ZADH2
HIST1H3G	SETD3
FBH1	MECOM
