#tail	head
MAP3K12	MAP3K11
PTEN	CREB1
PTEN	PLCB3
PTEN	INPP5F
EXOC8	EXOC2
EXOC8	EHD4
KCNS3	SLC12A2
PRMT3	OGA
PRMT3	SRF
KCNN3	SLC24A1
ATP2A2	APP
GTF3C2	HNF4A
GTF3C2	FOXQ1
DVL2	PFN1
DVL2	ESR2
DVL2	BAG3
TMEM25	HSPA5
MOS	KIFAP3
GRM1	CD44
PLAUR	LARGE1
CREB1	CYLD
CREB1	HNF4A
CREB1	PRR20C
CREB1	MECR
CDKN1A	HSPA5
CDKN1A	ESR2
CDKN1A	ANAPC4
CDKN1A	VCP
PRKG2	PLCB3
OCRL	GSTT1
OCRL	SETD1A
OCRL	NTRK1
NHLRC2	CEP76
PKM	NFE2L2
SETD1A	ESR2
EIF3A	ESR2
EIF3A	NTRK1
PFN1	ROCK1
PFN1	VCP
BIRC3	ESR2
BIRC3	MAGEA11
NFE2L2	VCP
NFE2L2	COQ8B
TRIM15	HNF4A
TRIM15	ROCK1
HNF4A	HSPA5
HNF4A	CYP3A43
TMSB4Y	TERF2IP
OGA	CYLD
CENPF	MAP7D2
TIMM44	NTRK1
MAP3K11	KIFAP3
RAP1GDS1	MBIP
RAP1GDS1	IRGC
RAP1GDS1	KIFAP3
NXNL1	TERF1
BAG3	POT1
BAG3	WDR1
EHD4	NTRK1
NTRK1	WDR1
APP	ESR2
APP	HOMER3
APP	MYL6
TERF1	TERF2IP
VCP	HSPA5
VCP	ESR2
EXOC2	ESR2
MPO	NOX1
MYL6	TRDN
TRDN	POU2F1
POU2F1	SRF
TBK1	ESR2
ESR2	TERF2IP
