#tail	head
GLRX3	CERCAM
LIMS3	CRX
PLEKHB2	DAZAP2
IGLV3-27	IGLC6
RAB5C	NR1H4
YARS2	CNTRL
IRAK4	IGHV2-70
IRAK4	IGLV1-51
IRAK4	IGLC6
IRAK4	TLR2
IRAK4	NCK1
IRAK4	FGF19
FGF9	FGF16
FGF9	SHBG
FGF9	MYH10
CERCAM	SFT2D1
SYT2	AP2S1
CRX	NR1H4
CRX	ERBB4
GNB4	SRC
GNB4	FGF20
GNB4	AGTR1
CDH3	STAT1
AP2S1	PIK3R2
AP2S1	SYNJ2
AP2S1	ARPC4
MYL12B	SRC
KLHL8	SNRNP70
KLHL8	SIGLEC5
EXOSC1	MLXIPL
AIFM1	SNRNP70
FOXF2	ERBB4
FOXF2	ABI3BP
FOXF2	ARHGEF6
P4HB	SRC
EREG	CFTR
EREG	GAB2
EREG	ARRB1
EREG	ABI2
EREG	NCK1
IGHV2-70	PIP5K1C
IGHV2-70	FGF16
IGHV2-70	ERBB2
IGHV2-70	ZMYM2
ARRB1	PIK3R2
GPSM3	GABBR1
GABBR1	JUN
MEIS2	ESRRA
FGF20	FGF5
FGF20	IGLV1-51
IGLV1-51	ERBB4
IGLV1-51	GAB2
PIP5K1C	ABI2
PIP5K1C	ARPC4
NOL4L	JUN
ILK	ERBB2
BATF2	JUN
SYNJ2	NCK1
FGF16	ABI2
FGF16	KLRD1
FGF16	CNTRL
PIK3CB	PIK3R2
MYH10	STAT1
JUN	BRCA1
JUN	BCAR1
JUN	ARPC4
JUN	PCDH9
CAND1	DAZAP1
ARPC4	NCK1
ARPC4	LPP
RB1	TADA2A
PCDH9	ERBB4
NR1H4	SMAD3
MAPK9	ZFC3H1
AGTR1	SRC
AGTR1	SAE1
AGTR1	CRH
ERBB2	FGF19
ZEB1	CTNND1
SRC	IGLC6
SRC	PCDHAC2
SRC	STAT1
SRC	GAB2
SNRNP70	SMAD3
ITGB3	KIAA1549
KLRD1	FGF19
KLRD1	PIK3R2
IGKV3-11	CNTRL
IGKV3-11	C1QB
IGKV3-11	ERBB4
STAT1	GPR55
STAT1	GAB2
CNOT1	BRCA1
PIK3R2	FGF19
GNG8	FGF19
BRCA1	NACA
BRCA1	NCK1
C1QB	MCOLN1
FGF19	NCK1
NCK1	ERBB4
