#tail	head
ITGB7	ITGA8
TAF7	GTF2H2
LAMA5	ITGAD
PSPC1	YLPM1
SLC25A19	SLC7A10
SLC25A19	SGPL1
GPAT3	MBOAT2
ITGA8	ITGB1
RTCB	FBXW11
F2	HRH2
F2	TRPV5
F2	DISC1
CBR1	CFTR
LOXL3	TLL1
GTF2H2	GTF2F1
SRSF10	GTF2F1
ATP6V1C1	SLC25A4
AQP7	EIF4G1
HTR3B	SLC22A3
HTR3B	PPP3CB
HNF4A	CDH1
HNF4A	SRSF1
HNF4A	HIST1H2BC
HNF4A	EIF4G1
HRH2	GRK5
CDH1	CFTR
CDH1	HSD17B3
CDH1	EFHD2
ATP6V1A	SGPL1
ATP6V1A	FBXO6
ATP6V1A	ACSM1
GPKOW	GTF2F1
NCBP1	CFTR
NCBP1	GRK5
NCBP1	EIF4G1
PTGIR	TRPV5
HIST1H2BC	ELF2
HACD1	PRODH2
COPG2	PMS2
COPG2	FBXO6
HSD17B4	STAU1
SAFB	STAU1
ACOX3	ENPP1
NMT1	ACSM1
RNASEH2A	FBXW11
