#tail	head
C1S	SLC39A1
CHMP3	MVB12A
KCTD7	PSMA1
ADCY3	IQGAP1
PSMA7	CDC16
PSMA7	AJUBA
PSMA7	CDC23
PSMA7	PSMD14
APOA2	KIAA1551
APOA2	SLC39A7
APOA2	EGF
IGLC3	GNG7
IGLC3	FGF20
IGLC3	FLT3LG
ATP1A2	KCNJ11
ATP1A2	PHKG2
ATP1A2	KCNS3
IQGAP1	INS
IQGAP1	PSMA1
IQGAP1	MYL6B
IQGAP1	GNAI3
IQGAP1	NOG
SULT1E1	CCL2
SULT1E1	UBE2I
ADIPOQ	CCL2
ADIPOQ	PPARG
PSMC3	PKHD1
PSMC3	LTBR
LZTS1	NOG
AJUBA	XPO1
AJUBA	TUBA1A
AJUBA	PSMA1
SAG	CHRM2
BRAT1	NMI
UBE2O	CDC23
RNF138	XPO1
RELA	KCNS3
RELA	TUBA1A
RELA	FASN
RELA	PRKCD
RELA	EGF
RELA	CTNNA1
RELA	YWHAZ
RELA	AKT1
UBE2I	XPO1
UBE2I	PIAS1
AMPD1	CBLB
SORBS3	AKT1
SORBS3	PCED1B
SORBS3	CDC23
BOLA2B	IQCB1
HIF3A	NOG
TRPS1	FOXD1
TRPS1	PITX2
TNIP2	INS
TNIP2	DYNC1I2
CD40	CBLB
CDCA8	XPO1
TOLLIP	NMI
TUBA1A	IQCB1
TUBA1A	NUMA1
TUBA1A	PABPC1
SLC5A9	SLC22A5
SLC5A9	FASN
LRRC7	GRIN2B
LRPAP1	NOG
FGF20	FLT3LG
TP53BP2	YWHAZ
TP53BP2	PKHD1
PPL	OPRM1
PPARG	MED14
CDC16	TRPC1
CCDC85B	PSMA1
CCDC85B	RBCK1
MYOD1	XPO1
CBLB	UBE2M
MVB12A	NOG
AKT1	FASN
AKT1	PIAS1
AKT1	CTNNA1
AKT1	IGLV2-23
TRPC1	PRKCD
TRPC1	CCL2
TRPC1	SERPINA1
TRPC1	GNAI3
RAPGEF4	GNAI3
LTBR	RBCK1
LTBR	ETV7
DNM1L	INS
PIAS1	NOG
CARD9	PRKCD
XPO1	FASN
XPO1	IQCB1
PKHD1	YWHAZ
DCUN1D5	GNAI3
WSB2	COMMD8
WSB2	INS
FASN	ALDH1A3
ZACN	FZD2
MIEF1	PSMA1
MARCH7	IQCB1
PRKCD	ATP2B3
PRKCD	HIST1H3G
PRKCD	CHRM2
PRKCD	YWHAZ
GNAI3	SAFB
GNAI3	PSMA1
GNAI3	GNG7
ELP2	PAAF1
FGA	INS
CCL2	INS
ALDH1A3	INS
ALDH1A3	NOG
PABPC1	SAFB
NOG	USP49
NOG	GNG7
GPRASP1	OPRM1
HTR7	GNG7
INS	PSMA1
