#tail	head
MRPL11	MRPL20
FYN	CDH19
OXA1L	ESR2
CDC25C	BMX
TRIM28	ZNF804B
TRIM28	KDM1A
PTP4A3	MAPK1
NUP210	LACTB2
ELL	SSU72
BRD7	HDAC2
NCOR1	BAZ1A
PDE4A	IFT140
NCEH1	GALNT7
BDNF	INS
GRK5	INS
RAB2A	CHM
MRPS34	JUN
DHX15	RPSA
POLR2J	INS
SMARCD2	NEURL4
ZBTB14	IL10
PTPN9	FGFR2
PLP2	EVI2A
ESR2	DUSP2
ESR2	INHBA
ESR2	MYO9B
ESR2	DSTN
ESR2	SH3KBP1
ESR2	VSX1
ESR2	DVL1
DAO	CYBB
DAO	PXDNL
MITF	VSX1
SOS2	PRKCA
MANSC1	MARK3
WDR19	INS
SORBS2	RPSA
ZNF706	INS
PRKCA	IL18
LRP2	CBL
AXL	FGF1
VSX1	PRKAG1
VSX1	OSBPL8
GOLGA6L9	INS
ARRB2	RPN2
JUN	MGST3
JUN	MRPS2
JUN	NDEL1
JUN	RPL18
JUN	HNRNPC
XPO1	BUB1B
PDLIM1	RPSA
ATP6V1A	SLC17A2
ATP6V1A	ATP1A3
MAPK1	KDR
MARK3	PPP2R5D
NABP1	INS
ACVR2B	TCF3
KIFAP3	TTC30B
HIST1H2BM	RPL9P9
ATP1A1	SLC6A2
SPG7	INS
TAF1	LSM3
LIMK1	OSBPL5
SLC25A4	ISLR
