#tail	head
ENGASE	RENBP
IMMT	UBA52
PCBP2	SOX9
PCBP2	RRBP1
PCBP2	SF1
HNF1A	CCM2L
HNF1A	EGR1
DVL2	PLCH2
KRT75	OIP5
SLC9A3	SLC24A5
TXNL4A	SYNCRIP
NOTCH3	SNW1
NOTCH3	NEU2
RENBP	NPL
NOS3	PARP1
NOS3	RNASEL
SMN1	KPNA3
NDUFA4L2	QTRT1
OIP5	E2F4
NCAPH	PARP1
BUB3	SF1
BUB3	PSMC6
FNDC3A	SYNCRIP
BTK	KATNB1
PSMC6	BTRC
MCM4	TRIM25
RRBP1	CIAPIN1
DLL4	EGR1
DLL4	FZD4
DLL4	ADORA2A
EGR1	SF1
EGR1	DNAJC8
EGR1	JUN
HGF	PIP4K2A
CLASP2	DYNLL1
UNC13B	SLC24A5
SLC6A8	SF1
RAB3A	GPT
RAB3A	TRPA1
QTRT2	QTRT1
ELANE	CAMP
ELANE	PARP1
TRPA1	VAMP2
NSFL1C	PLAA
SF1	GFPT1
KPNA3	PARP1
RAC2	CD247
CD247	PIP4K2A
ACTN2	SLC22A15
TAC1	JUN
NEK3	CPNE2
JAG2	TMEM216
ERG28	DYNLL1
CCDC102B	SORBS3
GFPT1	JUN
JUN	SYNCRIP
SORBS3	SYNCRIP
