#tail	head
RYBP	DCAF7
ANPEP	GGCT
ALKBH8	CCT5
PRPF4B	HNRNPU
PRPF4B	VIRMA
PRPF4B	SF3B2
SF3B3	SNRNP35
SF3B3	HSPA8
SF3B3	POLR2E
SF3B3	RBM17
SF3B3	VIRMA
TUBA1B	SEC24C
SLC32A1	SLC7A5
HNRNPK	POLR2E
DEK	TMED9
NR1H4	FHL3
GOLGB1	TMED9
MAX	IGF2BP1
MAX	E2F3
SF3B2	SNRNP70
SF3B2	THOC7
SF3B2	PRPF19
SF3B2	EFTUD2
DCAF7	SNRNP70
DCAF7	APP
CCT5	MAP3K1
CCT5	EFTUD2
MAP3K7CL	MSTN
E2F3	USF1
RBM17	NUDT21
RBM17	CLP1
RBM17	LSM8
RBM17	EFTUD2
FASN	SLC7A5
TPP1	LAP3
TPP1	ALDH3B1
ASH2L	POLR2E
IGF2BP1	HNRNPU
IGF2BP1	CBX8
IGF2BP1	PRKRA
SLC7A5	LAP3
SLC7A5	SLC6A14
SLC5A11	SLC6A14
DHX38	SNRNP70
DHX38	HNRNPU
DHX38	CLP1
DHX38	NUDT21
NR2F1	ZHX2
ACSL5	SLC2A8
VIRMA	CBX8
VIRMA	BUD13
VIRMA	NUDT21
BUD13	NUDT21
BUD13	THOC7
SF3B1	THOC7
SF3B1	PHF5A
SF3B1	SNRNP70
APP	USF1
KRTAP1-1	CTRC
SNRNP70	THOC7
SNRNP70	PROCR
SNRNP70	PRPF19
SNRNP70	EFTUD2
CLP1	HNRNPU
CLP1	HSPA8
CLP1	POLR2E
ACOT8	ALDH3B1
HNRNPU	POLR2E
HNRNPU	NUDT21
POU2F1	POLR2E
POU2F1	ZIC4
POLR2E	EFTUD2
POLR2E	NUDT21
TFDP2	MAP3K7
TFDP2	PHF5A
NUDT21	EFTUD2
EFTUD2	THOC7
FHL3	QKI
PHF5A	LSM8
