#tail	head
MAP3K12	STAT2
TRPC3	CXCR1
OBSL1	HSPD1
IMMT	JUN
BET1	GBF1
EPHA1	HSP90AB1
IFNA21	CXCR1
EZH1	BLVRA
SF3B3	MOV10
SF3B3	JUN
SF3B3	HSP90AB1
PTP4A3	GNAI2
NOS3	PPARA
NOS3	GNB1
NOS3	GNAI2
NOS3	AGTR1
HS3ST3B1	BACH2
HS3ST3B1	AGRN
TRPV2	GNAI2
PI4KA	HSP90AB1
MRGPRX1	GNAI2
AGTR1	PIP5K1C
AGTR1	IL1B
MOV10	CTNNB1
MOV10	HSPD1
MOV10	JUN
MOV10	PPARA
MOV10	PIP5K1C
HSPD1	GNB1
HSPD1	RAD18
HSPD1	CTNNB1
HSPD1	MCPH1
MCPH1	WDR53
GNB1	PPARA
GNB1	AHCY
GNB1	PIP5K1C
GNB1	JUN
GSTA2	ATP7B
GSTA2	IL1B
RTP2	GNAL
PIP5KL1	PIK3R3
KIF2C	TMED2
RIC8A	XPO1
RIC8A	GNA13
AREG	ACE
AREG	GNG8
AREG	CXCR1
INPP5F	PIP5K1C
EN1	BACH2
GNG8	CXCR1
GNG8	IGHV4-34
PIP5K1C	IGHV4-34
PIP5K1C	GNAI2
PIP5K1C	PIP4K2A
PIP5K1C	MYO10
PCDHB5	CTNNB1
RAD18	GNAI2
RAD18	PIP4K2A
AHCY	JUN
AHCY	GNAI2
AHCY	CTNNB1
EGR3	EYA4
PPARA	STAT5A
PPARA	WDR53
PPARA	CTNNB1
NKAPD1	ZC3H11A
NCBP3	ZC3H11A
STAT2	HSP90AB1
STAT2	CXCR1
CXCR1	GRP
CXCR1	IL1B
POLR2C	JUN
ATP7B	BACE1
GNAI2	PIP4K2A
GNAI2	EGR2
ATP6V0A1	JUN
IL12RB1	STAT5A
PIP4K2A	IGHV4-34
EGR2	C5orf38
RASGRP1	SKAP1
POU2F1	STAT5A
POU2F1	GNAL
GNA13	CTNNB1
TMED2	TMED7
STAT5A	CTNNB1
OR10J6P	GNAL
KIF2B	XPO1
JUN	HSP90AB1
CTNNB1	XPO1
CTNNB1	SEC16A
SEC16A	XPO1
