#tail	head
KRT35	TBC1D30
CCDC85C	CEP89
CCDC85C	CEP128
CCDC85C	CNTROB
NAGS	ACSM5
NAGS	BCKDHB
NAGS	PLA2G3
NAGS	LPCAT4
NAGS	ASNS
NAGS	PLA2G5
NAGS	PIGW
NAGS	CERS1
MRPS22	SNRNP70
MRPS22	FGGY
UBAC1	PSMD7
UBAC1	CCDC138
PCBD1	SMARCD1
PCBD1	BCKDHB
TCEA2	KRT40
TCEA2	HSF2BP
TCEA2	CNTROB
TCEA2	EAF1
TCEA2	LZTS1
DSG4	LPCAT4
DSG4	TFG
DSG4	SMARCD1
TPGS1	ASNS
TPGS1	CNTROB
TPGS1	CEP128
LPCAT4	PLA2G3
LPCAT4	ACSM5
LPCAT4	CERS1
LPCAT4	PLA2G5
LPCAT4	PIGW
LPCAT4	BCKDHB
TBC1D30	HSF2BP
HSF2BP	SMARCD1
HSF2BP	CCDC116
HSF2BP	EAF1
CCDC138	CEP89
CCDC138	CEP128
BCKDHB	ACSM5
ASNS	ACSM5
FGGY	EAF1
TFG	SNRNP70
PLA2G5	PLA2G15
PLA2G5	ACSM5
PLA2G5	PIGW
PLA2G5	CERS1
ACSM5	CERS1
ACSM5	PLA2G15
ACSM5	PIGW
ACSM5	PLA2G3
PSMD7	SNRNP70
CNTROB	CEP128
CEP89	CEP128
CERS1	PIGW
CERS1	PLA2G3
PLA2G3	PIGW
KRT40	CCDC116
