#tail	head
MITF	HINT1
VPS11	NOTCH1
VPS11	STX6
LCK	TLN1
LCK	PTPN4
LCK	TNPO1
LCK	UGCG
LCK	NOTCH1
RTN1	UGCG
TNPO1	RANBP6
TNPO1	NOTCH1
ACP5	SLC25A16
STAT1	ARPC1A
STAT1	FAM20B
AKAP1	TLN1
AKAP1	PYGM
GRPEL2	FXN
GRPEL2	LDHD
FES	APP
FES	HSH2D
FES	PTPN4
BID	APP
TLN1	MCOLN1
SLC23A2	APP
STX6	SCN3B
ACTN1	APP
ACTN1	CBL
ACTN1	PLD2
RANBP6	STEAP3
LDHD	NME1
LDHD	ADH1A
SCN3B	AHR
SCN3B	SLC38A1
STEAP3	MCOLN1
NOTCH1	APP
NOTCH1	CBL
CBL	APP
APP	MCOLN1
APP	PYGM
TK1	PTPN4
TK1	TYMS
SLC25A16	ADH1A
AHR	AKR1C4
NME1	ADH1A
NME1	MCOLN1
NME1	UGCG
NME1	SLC38A1
PTCH1	MAFG
ADH1A	UGT2B10
PTPN4	PYGM
