#tail	head
LPIN3	KCTD3
IQCB1	CALM2
ACTR5	HNF4A
PI16	TMBIM6
BTBD16	ELF1
NOP56	SHMT2
NOP56	ESR2
NOP56	JUN
STAT1	USP13
STAT1	RAPH1
DPYSL2	CDA
STRAP	NTRK1
STRAP	MAP1B
HDAC3	CSNK2A1
TDG	DDX39B
AURKB	PTPN9
AURKB	JUN
AURKB	GAS2L3
SF3A1	PAPOLA
CSTF2T	HNF4A
CSTF2T	CWC25
PAPOLA	CPSF3
PHB	PRPF8
HNF4A	SAMM50
HNF4A	JUN
SUV39H1	HIST1H4C
NUDCD1	NTRK1
KRI1	ESR2
SAMM50	POU3F1
C5AR2	GOLPH3L
HDAC11	ETV5
HDAC11	HIST1H4C
NTRK1	TOP2B
NTRK1	PLD3
NTRK1	CPSF3
NTRK1	CSNK2A1
NTRK1	ATP2B1
NTRK1	TNKS1BP1
CHD4	RPL14
LRRC8A	SDHA
TGFA	JUN
CWC25	POLR2L
POLR2L	JUN
CALM2	HIST1H4C
TNKS1BP1	DCTN3
TNKS1BP1	CSNK2A1
DAXX	HIST1H4C
JUN	ETV4
HIST1H4C	ESR2
DENND1A	SNAP91
