#tail	head
THUMPD3	CAMK2D
APBB1	HIST2H4A
POLR1A	MNAT1
POLR1A	HIST2H4A
POLR1A	POLR1B
TRIML1	GATA1
CAMK2D	ACTN2
CAMK2D	SMC1A
CAMK2D	TRPC1
CAMK2D	CATSPER3
CAMK2D	BCL2L11
CAMK2D	DNMBP
USP46	ACTB
RPS9	TCOF1
SREBF1	CALR
SREBF1	SLCO3A1
C11orf49	PNMA5
KRAS	TENT4A
KRAS	BCL2L11
CENPL	SMC1A
CENPL	NUP37
TRPC5	MYL9
SLC26A7	SLCO1C1
MTA2	GATA1
MTA2	H2AFB1
MTA2	CDK18
MTA2	BCL2L11
MTA2	HIST2H4A
POLR2F	LSM6
POLR2F	HIST2H4A
POLR2F	HIST1H4D
POLR2F	TAF13
SMN2	IGF2BP1
SMN2	DDX3X
SMN2	HIST2H4A
LSM2	PRPF19
NUP37	CENPC
SH3GL1	DDX3X
POLR1B	H2AFB1
POLR1B	TCOF1
RPL26	IGF2BP1
EEF1B2	PGR
H2AFB1	HIST1H4D
RPS19	MME
RPS19	DDX3X
TPGS2	ACTB
YWHAH	PRKCZ
SLCO1C1	SLC4A10
IGF2BP1	TCOF1
ACTB	SSB
BRAF	SSB
HSPA14	BAG1
HSPA14	GATA1
DDX3X	PRKCZ
DDX3X	EIF3E
CSNK2B	PRKCZ
COL9A2	ACTN2
CDK18	HOMER3
APPL1	PNMA5
SSB	HIST1H4D
SSB	TCOF1
