#tail	head
ACSL3	ACOT1
DEFA5	HSPA14
ELAVL1	TRIM25
ELAVL1	SRC
ELAVL1	FCHSD2
CLNS1A	RPL15
HIST1H2BF	CD4
FBL	NUP62
ISCA1	RIN1
UPF2	RPS3
DNAJB2	ESR2
DNAJB2	RPRD1B
BCAS2	IK
RXRB	RBM39
RPL26	SRP72
SNRPB2	LSM2
RPS3	RPL10
RPS3	RPS16
SH3GL1	SRC
SMAD9	ARHGAP9
ACAT1	ACSM1
ACAT1	SLC25A16
SORBS2	RPRD1B
SORBS2	MTUS1
SORBS2	CDCA3
LSM4	RBM15
LSM4	RBM39
LSM4	ESR2
RPL3L	APP
RPL3L	RPL24
CHMP5	VPS37B
SRC	ESR2
SRC	DDX21
SRC	RPRD1B
APP	CDCA3
MAPK10	CHRFAM7A
TTC19	SH2D4A
YWHAZ	ESR2
ETS2	TRIM25
RBM39	ESR2
RPS16	EBNA1BP2
RPRD1B	DDX21
MTUS1	SEC24C
DDX21	EBNA1BP2
ESR2	CMKLR1
PSMD8	TRIM25
