#tail	head
PCBP2	SNRNP27
BMP15	FOXO1
PRPF4	DHX9
FOXO1	CTNNB1
FOXO1	TSSK2
FOXO1	MGLL
NAMPT	LMNB2
PIK3R1	YWHAG
MTF1	DHX9
SPR	ACSL1
ZNF76	TAF1
SFRP1	WNT8B
TLN1	GABPB2
TCTN1	CKAP4
ITIH5	RB1CC1
RPL19	SCYL2
RPL19	CUL5
AQP3	ATP6V1C2
DHX8	ACSL1
IGHV4-39	EGF
COMMD10	RBX1
CDC20	APP
TTBK2	NOG
CFAP57	GABPB2
NSF	STAU1
NSF	SNRNP70
ATP7B	EGF
ATP7B	CFI
MELTF	DERL3
EEFSEC	NXF1
SOBP	NOG
XIAP	NOG
TOMM20	NXF1
CENPO	NXF1
H2AFX	HIBCH
H2AFX	TAF1
H2AFX	CTNNB1
H2AFX	HIST1H4F
CAB39	PRKAB1
CTNNB1	MAPK11
CTNNB1	ALB
CTNNB1	HIST1H4F
CTNNB1	EGF
CTNNB1	FZD7
STK38L	DPCD
USP5	RPN1
RPN1	GABARAPL2
RPN1	RPN2
RPN1	RPL27
CCT8	SNRNP70
CCT8	SRRT
CCT8	EFTUD2
RBPJ	MAPK14
FOS	GJA1
GABARAPL2	PLOD1
PTBP1	SF3B6
ATP5F1A	YWHAG
SAMD1	SKP2
ENTPD3	UROD
ENTPD3	ACSL1
PLPP1	DGKK
RPL27	TAF1
YWHAG	TCTN3
YWHAG	DYNLL1
ACSL1	BCKDHA
HIST1H3B	TAF1
HIST1H3B	SHPRH
PRKCA	NOG
DUSP16	YES1
CKAP4	SLC39A4
CKAP4	EFTUD2
CKAP4	SNRNP70
PPWD1	SNRNP70
ZIC2	NOG
SHPRH	EDARADD
SEC61A1	MYC
SEC61A1	RPL34
HSD17B7	SMYD1
MAP3K7	WNT1
MAP3K7	MAPK14
SOCS7	CUL5
CMPK1	ATP6V1C2
SRRT	OGT
SRRT	SNRNP70
SLC39A4	APP
NXF1	SKP2
MYC	NOG
MYC	WNT1
MYC	ITGAV
MYC	APP
MYC	TFAP2A
MYC	NRXN1
RPL34	APP
OGT	HCFC1
CRELD2	NOG
HIST1H4F	SF3B1
PRKAB1	NUDC
CYP2A6	CYP2A13
CYP2A6	NR3C1
SNRPA	SDCBP
SNRNP70	NUDC
CRY1	EFTUD2
YWHAZ	EFTUD2
YWHAZ	EGF
CEP164	MAPK14
DHX9	CUL5
DHX9	EFTUD2
CEBPG	SELENOF
SKP2	CUL5
SLC30A6	APP
SLC30A6	IGF2
FZD7	SDCBP
ACAD9	CPT2
TRIML1	APP
NOG	WIF1
